SPAC IPO ,Date of IPO,CUSIP
Aetherium Acquisition Corp.,12/29/2021,00809J200
Welsbach Technology Metals Acquisition Corp.,12/27/2021,950415208
Arogo Capital Acquisition Corp.,12/23/2021,042644203
Gardiner Healthcare Acquisitions Corp.,12/21/2021,365506203
Larkspur Health Acquisition Corp.,12/20/2021,51724W206
Sagaliam Acquisition Corp.,12/20/2021,78661R205
NorthView Acquisition Corp.,12/20/2021,66718N202
Revelstone Capital Acquisition Corp.,12/16/2021,76137R205
AP Acquisition Corp.,12/16/2021,G04058122
CF Acquisition Corp. VII,12/15/2021,12521H206
Ault Disruptive Technologies Corp.,12/15/2021,05150A203
FTAC Emerald Acquisition Corp.,12/15/2021,29103K209
Spree Acquisition Corp. 1 Ltd,12/15/2021,G83745110
Swiftmerge Acquisition Corp.,12/14/2021,G63836129
EVe Mobility Acquisition Corp.,12/14/2021,G3218G125
Pearl Holdings Acquisition Corp.,12/14/2021,G44525122
Investcorp Europe Acquisition Corp. I,12/14/2021,G4923T121
Ahren Acquisition Corp.,12/14/2021,G01322117
Battery Future Acquisition Corp.,12/14/2021,G0888J116
Alpha Star Acquisition Corp.,12/13/2021,
Kairous Acquisition Corp. Ltd.,12/13/2021,G52131102
BurTech Acquisition Corp.,12/10/2021,123013203
Trajectory Alpha Acquisition Corp.,12/9/2021,89301B203
Financial Strategies Acquisition Corp.,12/9/2021,31772T206
Power & Digital Infrastructure Acquisition II Corp.,12/9/2021,73919C209
Healthcare AI Acquisition Corp.,12/9/2021,G4373K125
Athena Technology Acquisition Corp. II,12/9/2021,04687C204
Forbion European Acquisition Corp.,12/9/2021,G3619H128
Southport Acquisition Corp.,12/9/2021,84465L204
Growth For Good Acquisition Corp.,12/9/2021,G41522122
Target Global Acquisition I Corp.,12/8/2021,G8675N117
Jackson Acquisition Co.,12/8/2021,46653C205
Inception Growth Acquisition Ltd.,12/8/2021,45333D203
Emerging Markets Horizon Corp.,12/8/2021,G3033X113
Sculptor Acquisition Corp. I,12/8/2021,G7T983129
Integrated Wellness Acquisition Corp.,12/8/2021,G4828B126
Genesis Growth Tech Acquisition Corp.,12/8/2021,G3R23D110
Crypto 1 Acquisition Corp.,12/7/2021,G3168A128
Jupiter Wellness Acquisition Corp.,12/6/2021,48208E207
Motive Capital Corp. II,12/6/2021,G6293R122
APx Acquisition Corp. I,12/6/2021,G0440J117
Globalink Investment Inc.,12/6/2021,37892F208
BioPlus Acquisition Corp.,12/2/2021,G11217109
Blue Ocean Acquisition Corp.,12/2/2021,G1330L113
ST Energy Transition I Ltd.,12/2/2021,G8465L123
Bullpen Parlay Acquisition Co.,12/2/2021,G1792A126
Games & Esports Experience Acquisition Corp.,12/1/2021,G3731J101
ROC Energy Acquisition Corp.,12/1/2021,77118V207
UTA Acquisition Corp.,12/1/2021,G9473A125
TLGY Acquisition Corp.,11/30/2021,G8656T117
Capitalworks Emerging Markets Acquisition Corp.,11/30/2021,G1889L118
Roth CH Acquisition V Co.,11/30/2021,77867R209
PROOF Acquisition Corp. I,11/30/2021,74349W203
Canna-Global Acquisition Corp.,11/29/2021,13767K200
Beard Energy Transition Acquisition Corp.,11/23/2021,07402Q200
Everest Consolidator Acquisition Corp.,11/23/2021,29978K201
Vahanna Tech Edge Acquisition I Corp.,11/23/2021,G9320Z125
8i Acquisition 2 Corp.,11/22/2021,G2956R111
Mana Capital Acquisition Corp.,11/22/2021,56168P203
Legato Merger Corp. II,11/22/2021,52473Y203
FTAC Zeus Acquisition Corp.,11/18/2021,30320F205
Crescera Capital Acquisition Corp.,11/18/2021,G26507122
InFinT Acquisition Corp.,11/18/2021,G47862118
Infinite Acquisition Corp.,11/18/2021,G48028115
ALSP Orchid Acquisition Corp. I,11/18/2021,G0231L115
bleuacacia Ltd.,11/17/2021,G11728121
Seaport Global Acquisition II Corp.,11/17/2021,81221H204
Arisz Acquisition Corp.,11/17/2021,040450207
Nabors Energy Transition Corp.,11/16/2021,629567207
ShoulderUp Technology Acquisition Corp.,11/16/2021,82537G203
LF Capital Acquisition Corp. II,11/16/2021,50202D201
Energem Corp.,11/15/2021,G30449113
Integrated Rail & Resources Acquisition Corp.,11/11/2021,45827R205
Mountain Crest Acquisition Corp. V,11/11/2021,62404B206
LAMF Global Ventures Corp. I,11/10/2021,G5338L116
VMG Consumer Acquisition Corp.,11/10/2021,91842V201
Chain Bridge I,11/9/2021,G2061X128
Arena Fortify Acquisition Corp.,11/9/2021,04005A203
Ascendant Digital Acquisition Corp. III,11/9/2021,G05157121
Blockchain Coinvestors Acquisition Corp. I,11/9/2021,G11765123
RCF Acquisition Corp.,11/9/2021,G7330C128
Hunt Companies Acquisition Corp. I,11/8/2021,G46482116
Apeiron Capital Investment Corp.,11/8/2021,03752A200
OmniLit Acquisition Corp.,11/8/2021,68218C207
Green Visor Financial Technology Acquisition Corp. I,11/8/2021,G4166K118
DP Cap Acquisition Corp. I,11/8/2021,G2R05B118
New Providence Acquisition Corp. II,11/4/2021,64823D201
Mountain & Co. I Acquisition Corp.,11/4/2021,G6301J120
Mercato Partners Acquisition Corp.,11/4/2021,58759A207
Intelligent Medicine Acquisition Corp.,11/4/2021,45828D205
Rigel Resource Acquisition Corp.,11/4/2021,G7573M122
7 Acquisition Corp.,11/4/2021,G80694121
Sizzle Acquisition Corp.,11/3/2021,83014E208
Lionheart III Corp.,11/3/2021,536262207
Spindletop Health Acquisition Corp.,11/3/2021,84854Q202
Concord Acquisition Corp. III,11/3/2021,20607V205
Juniper II Corp.,11/3/2021,48203N202
Liberty Resources Acquisition Corp.,11/3/2021,53118A204
Semper Paratus Acquisition Corp.,11/3/2021,G8028L123
Digital Health Acquisition Corp.,11/3/2021,253893200
Finnovate Acquisition Corp.,11/3/2021,G3R34K129
Talon 1 Acquisition Corp.,11/3/2021,G86656124
Trine II Acquisition Corp.,11/2/2021,G9059F126
Fortune Rise Acquisition Corp.,11/2/2021,34969G201
Integral Acquisition Corp. 1,11/2/2021,45827K200
TG Venture Acquisition Corp.,11/2/2021,87251T208
McLaren Technology Acquisition Corp.,11/2/2021,58176U208
Onyx Acquisition Co. I,11/2/2021,G6755Q125
Vision Sensing Acquisition Corp.,10/29/2021,92838J202
SDCL Edge Acquisition Corp.,10/28/2021,G79471119
Project Energy Reimagined Acquisition Corp.,10/28/2021,G72556122
Cactus Acquisition Corp. 1 Ltd.,10/28/2021,G1745A116
AltEnergy Acquisition Corp.,10/28/2021,02157M207
Arbor Rapha Capital Bioholdings Corp. I,10/28/2021,03881F203
Perception Capital Corp. II,10/27/2021,G7007D128
Focus Impact Acquisition Corp.,10/27/2021,34417L208
Seaport Calibre Materials Acquisition Corp.,10/27/2021,812204204
Anthemis Digital Acquisitions I Corp.,10/27/2021,G03959122
Deep Medicine Acquisition Corp.,10/26/2021,243733201
LAVA Medtech Acquisition Corp.,10/26/2021,519345201
Pyrophyte Acquisition Corp.,10/26/2021,G7308P119
Innovative International Acquisition Corp.,10/26/2021,G4809M117
OPY Acquisition Corp. I,10/26/2021,671005205
TKB Critical Technologies 1,10/26/2021,G88935104
M3-Brigade Acquisition III Corp.,10/21/2021,55407R202
Pegasus Digital Mobility Acquisition Corp.,10/21/2021,G69768128
Iconic Sports Acquisition Corp.,10/21/2021,G4712C123
Newhold Investment Corp. II,10/20/2021,651450207
GoGreen Investments Corp.,10/20/2021,G9461B127
