,offer date,IPO name,CUSIP
0,01/30/1975,ROYSTER,78088610
1,06/09/1975,VARCO,92212610
2,06/10/1975,COORS ADOLPH,21701610
3,07/15/1975,KEYSTONE FOODS CORP,49348410
4,08/26/1975,C. F. BRAUN,10564710
5,09/10/1975,BROOKS FASHION STORES,11439410
6,09/24/1975,"CHRISTENSEN, INC.",17056510
7,10/21/1975,KERR GLASS MANUFACTURI,49237610
8,10/28/1975,LIQUID AIR,53631510
9,10/30/1975,OCEANEERING INTERNATL,67523210
10,11/07/1975,COLONIAL GAS ENERGY,19567410
11,12/16/1975,CULLEN BANKERS,22989510
12,01/08/1976,SBE INC.,78387310
13,01/15/1976,BALDOR,05774110
14,01/15/1976,DICKEY-JOHN,25312010
15,01/21/1976,PATHCOM,70319110
16,01/28/1976,CHEMINEER,16381810
17,02/11/1976,MANUFACTURING DATA,56501010
18,03/17/1976,CRAY RESEARCH,22522410
19,03/29/1976,BURING FOOD GROUP,12126610
20,05/11/1976,MAYFLOWER,57834810
21,05/12/1976,ENTENMANNS,29362710
22,05/19/1976,GAP STORES,36476010
23,05/19/1976,NATCO,63227910
24,06/03/1976,STEWART & STEVENSON SE,86034210
25,06/08/1976,FOUR PHASE,35089720
26,06/29/1976,SHARED MEDICAL SYSTEMS,81948610
27,07/08/1976,DOCUMATION,25614510
28,07/13/1976,DATA TERMINAL,23801010
29,07/22/1976,VAPOR,92209810
30,08/10/1976,DYCO PETROLEUM,26747010
31,08/12/1976,AMDAHL,02390510
32,09/02/1976,ZONDERVAN,98975520
33,09/15/1976,ROLM,77578410
34,09/28/1976,KIMBALL,49427410
35,09/28/1976,TYRONE HYDRAULICS,90243410
36,10/29/1976,CHEFS INTERNATIONAL,16308210
37,11/09/1976,DATA RESOURCES INC,23785710
38,12/15/1976,BOKUM,09750010
39,12/16/1976,BEAR CREEK,07379910
40,12/16/1976,PCA INTERNATIONAL,69318010
41,01/06/1977,TETRA TECH,88162110
42,01/18/1977,FREMONT GENERAL,35728810
43,01/25/1977,OMEGA OPTICAL,68290110
44,01/27/1977,BROUGHAM INDUSTRIES,11483020
45,02/01/1977,CONTINUOS CURVE LENS,21217710
46,02/09/1977,ST JUDE MEDICAL,79084910
47,03/24/1977,JHIRMACK ENTERPRISES,47736820
48,04/14/1977,JENN-AIR,47614010
49,04/27/1977,TESDATA SYSTEMS,88159710
50,05/12/1977,AMERICAN CLIPPER,02514710
51,06/16/1977,HOP-IN FOOD STORES,43933610
52,06/21/1977,GEOSOURCE,37364710
53,06/22/1977,HARPER GROUP,41345910
54,06/29/1977,DELOREAN MOTOR CORPORA,
55,07/27/1977,TPC COMMUNICATION,87261520
56,08/24/1977,UTILITY VERIFICATION,
57,09/14/1977,TRI-AMERICAN CORPORATI,89531410
58,10/05/1977,NEW ENGLAND BUSINESS SERVICE,
59,10/11/1977,CENTURY 21 REAL ESTATE,15669610
60,11/23/1977,PAIN CONTROL CENTERS,69562110
61,12/14/1977,JLG INDUSTRIES,46621010
62,12/14/1977,TANDEM COMPUTERS,87537010
63,12/21/1977,TELENET,87990310
64,04/11/1978,SUNTEC SYSTMS,86787310
65,04/12/1978,FEDERAL EXPRESS CORP,31330910
66,04/25/1978,EMPLOYEE BENEFITS,29216410
67,06/08/1978,GENRAD,37244710
68,07/11/1978,PARADYNE CORP,69911310
69,07/13/1978,MOUNTAIN HIGH,62405410
70,08/02/1978,CHERRY ELECTRICAL PROD,16454110
71,08/02/1978,CULLINANE,23003210
72,08/21/1978,RANDAL DATA SYSTEMS,75225010
73,09/07/1978,EVANS & SUTHERLAND,29909610
74,09/19/1978,NUCLEAR METALS,67090110
75,09/20/1978,COLOR TILE,19626710
76,09/21/1978,OIL BASE,67778510
77,09/28/1978,FLOATING POINT SYSTEM,33973410
78,10/18/1978,ROBINSON NUGENT,77081010
79,10/19/1978,SCIENTIFIC TIME SHAR,80880210
80,10/26/1978,XIDEX,98490010
81,11/16/1978,AVANTEK,05349210
82,11/28/1978,ANECO REINSURANCE,03458110
83,12/05/1978,COMPACT VIDEO SYSTEMS,20426120
84,12/06/1978,L LURIA & SON,55048410
85,12/13/1978,PETROLEUM EQUIP TOOLS,71658310
86,12/14/1978,RAMTEK,75187410
87,12/19/1978,NATL RAILWAYS UTILIZ,63732510
88,01/24/1979,AUTO-TROL TECHNOLOGY,05275410
89,01/24/1979,BANK OF NEW HAVEN,05591810
90,01/30/1979,PICCADILLY CAFETERIAS,71956710
91,02/15/1979,VERBATIM,92335310
92,03/06/1979,BROOKWOOD HEALTH SERV.,11472010
93,03/15/1979,OIL CITY PETROLEUM,67786010
94,03/28/1979,WESTERN PACIFIC RR,95913010
95,04/03/1979,SAFETY-KLEEN,78648410
96,04/06/1979,UNIT DRILLING,90921810
97,04/17/1979,TELECO OILFIELD SERV.,87927210
98,04/24/1979,UNITED TELECOMMUNICATIONS,91302410
99,04/27/1979,AMERICAN MGMT. SYSTEMS,02735210
100,05/02/1979,STRYKER,86366710
101,05/04/1979,BIOMED. REF. LABS,09061010
102,05/04/1979,BRAE,10480210
103,05/22/1979,PETX PETROLEUM,69331110
104,06/01/1979,SYMBOL TECHNOLOGIES,87150810
105,06/07/1979,ATLANTIC RESEARCH,04881610
106,06/14/1979,TOPAZ,89054110
107,06/26/1979,PRINTRONIX,74257810
108,06/27/1979,NICKLOS OIL & GAS,65404810
109,07/03/1979,ANTENNAS FOR COMM.,03672910
110,07/17/1979,"SANDERS, RC TECH.",80000810
111,07/19/1979,DEPENDABLE INSUR. GRP.,24951810
112,08/06/1979,APPLIED SOLAR ENERGY,03823920
113,08/07/1979,WALBAR,93114610
114,08/23/1979,UNITED PETROSEARCH,91132810
115,08/28/1979,RICHMOND TANK CAR,76536130
116,09/12/1979,SHOPSMITH,82509810
117,09/27/1979,SPECTRADYNE,84757110
118,10/03/1979,WESPERCORP,95106010
119,10/04/1979,INFORMATICS,45666810
120,10/04/1979,THOMPSON MEDICAL,88484210
121,10/09/1979,VALLEN,91926010
122,10/10/1979,BIOMETRICS,09061610
123,10/16/1979,HAEMONETICS,40502210
124,10/16/1979,KEVEX,49271710
125,10/17/1979,BIO-RESPONSE,09057520
126,11/20/1979,SPECIALIZED SYSTEMS,84748020
127,11/29/1979,LIFE INSTRUMENTS,53185110
128,11/29/1979,THE EXPLORATION CO.,30213310
129,12/05/1979,ADAC LABS,00531310
130,12/06/1979,EMPIRE OF CAROLINA,29200710
131,12/06/1979,TIE / COMMUNICATIONS,87246410
132,12/12/1979,NBI,62873510
133,12/12/1979,THOUSAND TRAILS,88550010
134,12/13/1979,HARKEN OIL & GAS,41255210
135,12/18/1979,TRIAD SYSTEMS,89581810
136,12/19/1979,BIOCHEM INTERNATIONAL,09058510
137,12/20/1979,MOXA ENERGY,62468310
138,01/30/1980,PYRO-MAGNETICS,74724510
139,02/13/1980,PASSPORT TRAVEL,70285210
140,02/28/1980,BLOCKER ENERGY,09368010
141,03/04/1980,ANTHEM ELECTRONICS,03673210
142,03/11/1980,CADO SYSTEMS,12760410
143,03/11/1980,SILTEC,82727910
144,03/13/1980,DIMIS,25434910
145,03/13/1980,RADIOGRAPHIC,75040910
146,04/30/1980,GEOKINETICS,37291010
147,05/08/1980,EMPIRE AIRLINES,29159310
148,05/20/1980,CORCOM,21835610
149,05/20/1980,SCI-TEX,80861910
150,05/21/1980,Gulf Canada Ltd,40218L206
151,05/21/1980,UP-RIGHT,91529410
152,05/29/1980,NITRON,65480010
153,06/12/1980,ENZO BIOCHEM,29410010
154,06/12/1980,INT'L CAP'L EQUIP,45922810
155,06/17/1980,BROCK HOTEL,111632113
156,06/17/1980,PARAHO DEVELOPMENT,69915010
157,06/19/1980,ANDREW,03442510
158,06/19/1980,GENERAL NUTRITION,370471104
159,06/19/1980,TECHNODYNE,87861210
160,06/25/1980,MAGNUSON COMPUTER,55972610
161,07/02/1980,GOODY PRODUCTS,38248610
162,07/09/1980,TYLAN,90216710
163,07/11/1980,GENERAL DEFENSE,36949110
164,07/15/1980,TELLABS,87966410
165,07/16/1980,OPTIMUM HOLDING,68390410
166,07/22/1980,APPLICON,03814410
167,07/23/1980,AMERICAN GASAHOL,02635010
168,07/24/1980,ADVANCED SYSTEMS,00754710
169,07/31/1980,GAMMA BIOLOGICALS,36465710
170,08/06/1980,MONOLITHIC MEMORIES,609836101
171,08/12/1980,SERVICE FRACTURING,81790810
172,08/20/1980,BANCTEC,05978410
173,09/05/1980,SYSTEM INDUSTRIES,87190010
174,09/16/1980,ISC SYSTEMS,45013510
175,09/16/1980,MID PACIFIC AIRLINES,59541210
176,09/18/1980,SAT TEL ASSOC RESOURCES,80401610
177,09/23/1980,OXYGEN ENRICHMENT,69208010
178,09/24/1980,EAGLE EXPLORATION,26951010
179,09/25/1980,INT'L POWER MACHINES,46018410
180,09/30/1980,TACOMA BOATBLDG,87345210
181,10/03/1980,BDM INTERNATIONAL,05537810
182,10/07/1980,AM CABLE TV,00165010
183,10/07/1980,TEAM,87815510
184,10/08/1980,KLA INSTRUMENTS,48248010
185,10/14/1980,GENENTECH,36871010
186,10/15/1980,YANKEE OIL,98477710
187,10/28/1980,XICOR,98490310
188,10/29/1980,AMERICAN METALS,02748710
189,11/03/1980,NETWORK SYSTEMS,64121710
190,11/06/1980,HEALTH INFORMATION,42218010
191,11/06/1980,PEOPLE EXPRESS,70976410
192,11/12/1980,AMPECO,02990010
193,11/13/1980,STEIGER TRACTOR,85835910
194,11/18/1980,Storage Equities Inc,862110103
195,11/20/1980,SECURITY AMERICA,81375410
196,11/21/1980,ADVEST,00756610
197,11/26/1980,SAXON OIL,80557510
198,12/02/1980,MOVIE SYSTEMS,62459510
199,12/02/1980,NIKE,65410610
200,12/02/1980,SEA GALLEY,81137710
201,12/03/1980,DRECO ENERGY,26152810
202,12/03/1980,K-TRON,48273010
203,12/04/1980,MIDWAY AIRLINES,59813010
204,12/09/1980,BSD MEDICAL,05566310
205,12/12/1980,Apple Computer,03783310
206,12/15/1980,UNIV COMMUNICATION,91342410
207,12/16/1980,C3,12652010
208,12/16/1980,RATLIFF DRILLING,75409510
209,12/17/1980,DECA ENERGY,24276910
210,12/17/1980,DRILLERS,26205210
211,12/18/1980,BELLWETHER,07989510
212,12/18/1980,ZENTEC,98942810
213,12/23/1980,DELMED,24711410
214,12/31/1980,INTELLIGENT SYSTEMS,45815810
215,01/06/1981,ISSC INDL SOLID ST CTL,45030510
216,01/07/1981,MATRIX SCIENCE,57685010
217,01/08/1981,NUTRI/SYSTEM,67061110
218,01/08/1981,PARTNERS OIL,70212510
219,01/22/1981,DIAGNOSTIC/RETRIEVAL,25245610
220,01/27/1981,DYSAN,26817910
221,01/29/1981,CHEM-TRONICS,16353210
222,01/29/1981,SILICON SYSTEMS,82705810
223,02/03/1981,ENTERPRISE RADIO,29379510
224,02/03/1981,VERNA,92430010
225,02/04/1981,SOUTH TEXAS DRILLING,84055310
226,02/05/1981,INTER-TEL,45837210
227,02/05/1981,RENAL DEVICES,75990610
228,02/11/1981,TANDON,87537710
229,02/17/1981,SCIENTIFIC LEASING,80876110
230,02/18/1981,ELECTRO-BIOLOGY,28506010
231,02/18/1981,FUNDSNET,36086810
232,02/20/1981,NEW YORK AIR,64934310
233,02/24/1981,NAHAMA & WEAGANT,62977510
234,02/26/1981,C-COR ELECTRONICS,12501010
235,02/26/1981,WILLIAMS ELECTRONICS,96990110
236,03/04/1981,CONSOLIDATED PETROLEUM,20978010
237,03/05/1981,AUTOCLAVE ENGINEERS,05276010
238,03/06/1981,CETUS,15719910
239,03/17/1981,DELTA DRILLING,24783610
240,03/17/1981,SAGE DRILLING,78662710
241,03/18/1981,TIMES FIBER,88735510
242,03/19/1981,OBJECT RECOGNITION,67441910
243,03/24/1981,DURALITH,26634010
244,03/24/1981,HEI,40416010
245,03/24/1981,INT'L INSTITUTE (MED),45969510
246,03/24/1981,TECHNOLOGY MARKETING,87872610
247,03/25/1981,SEI,78411710
248,03/26/1981,EMULEX,29247510
249,03/26/1981,INFOTRON SYSTEMS,45680910
250,03/26/1981,VENTREX LABS,92281210
251,04/01/1981,AMERICAN FIBER OPTICS,02590010
252,04/01/1981,DELTA NATURAL GAS,24774810
253,04/01/1981,STERLING PIPE & SUPPLY,85949010
254,04/07/1981,INTERGRAPH,45868310
255,04/07/1981,ULTIMATE CORPORATION,90384810
256,04/08/1981,EIL INSTRUMENTS,26852610
257,04/08/1981,GERBER SYSTEMS,37373410
258,04/08/1981,KENCOPE ENERGY,48854410
259,04/08/1981,MANAGEMENT SCIENCE,561699109
260,04/08/1981,PRAIRIE PRODUCING,73965910
261,04/09/1981,EXPLORATION SURVEYS,30213510
262,04/13/1981,INTERMAGNETICS GENERAL,45877110
263,04/14/1981,COMPUTER MAGNETICS,20520810
264,04/15/1981,BIW CABLE SYSTEMS,05547510
265,04/15/1981,COMPUTER ENTRY,20509010
266,04/16/1981,INTERTEC DATA,46112110
267,04/16/1981,PIZZA TIME THEATRE,72590010
268,04/16/1981,SILICON ELECTRO-PHYSIC,82705310
269,04/21/1981,DORADO MICRO SYSTEMS,25810710
270,04/22/1981,GREATWEST HOSPITALS,39241510
271,04/22/1981,SWIFT INDEPENDENT,87074210
272,04/23/1981,DAWSON GEOPHYSICAL,23935910
273,04/23/1981,ENERSERV PRODUCTS,29274110
274,04/23/1981,ENS BIOLOGICALS,29356310
275,04/23/1981,TELESPHERE INT'L,87990810
276,04/28/1981,CHILDREN'S PLACE,16875910
277,04/28/1981,CRAWFORD ENERGY,22501510
278,04/29/1981,IKE LOVELADY,54717510
279,04/30/1981,NELSON RESEARCH,64037910
280,05/05/1981,DATA I/O,23769010
281,05/05/1981,WOMETCO CABLE TV,97816010
282,05/06/1981,NORPAC EXPLORATION SERVICES,65626810
283,05/07/1981,AMERICAN DIAGNOSTICS,02536410
284,05/07/1981,VIRATEK,92764810
285,05/12/1981,ADVANCED SEMICONDUCTOR MAT,00791410
