,Unnamed: 0,offer date,IPO name,CUSIP,SPAC IPO 
0,0,01/30/1975,ROYSTER,078088610,0
1,1,06/09/1975,VARCO,092212610,0
2,2,06/10/1975,COORS ADOLPH,021701610,0
3,3,07/15/1975,KEYSTONE FOODS CORP,049348410,0
4,4,08/26/1975,C. F. BRAUN,010564710,0
5,5,09/10/1975,BROOKS FASHION STORES,011439410,0
6,6,09/24/1975,"CHRISTENSEN, INC.",017056510,0
7,7,10/21/1975,KERR GLASS MANUFACTURI,049237610,0
8,8,10/28/1975,LIQUID AIR,053631510,0
9,9,10/30/1975,OCEANEERING INTERNATL,067523210,0
10,10,11/07/1975,COLONIAL GAS ENERGY,019567410,0
11,11,12/16/1975,CULLEN BANKERS,022989510,0
12,12,01/08/1976,SBE INC.,078387310,0
13,13,01/15/1976,BALDOR,005774110,0
14,14,01/15/1976,DICKEY-JOHN,025312010,0
15,15,01/21/1976,PATHCOM,070319110,0
16,16,01/28/1976,CHEMINEER,016381810,0
17,17,02/11/1976,MANUFACTURING DATA,056501010,0
18,18,03/17/1976,CRAY RESEARCH,022522410,0
19,19,03/29/1976,BURING FOOD GROUP,012126610,0
20,20,05/11/1976,MAYFLOWER,057834810,0
21,21,05/12/1976,ENTENMANNS,029362710,0
22,22,05/19/1976,GAP STORES,036476010,0
23,23,05/19/1976,NATCO,063227910,0
24,24,06/03/1976,STEWART & STEVENSON SE,086034210,0
25,25,06/08/1976,FOUR PHASE,035089720,0
26,26,06/29/1976,SHARED MEDICAL SYSTEMS,081948610,0
27,27,07/08/1976,DOCUMATION,025614510,0
28,28,07/13/1976,DATA TERMINAL,023801010,0
29,29,07/22/1976,VAPOR,092209810,0
30,30,08/10/1976,DYCO PETROLEUM,026747010,0
31,31,08/12/1976,AMDAHL,002390510,0
32,32,09/02/1976,ZONDERVAN,098975520,0
33,33,09/15/1976,ROLM,077578410,0
34,34,09/28/1976,KIMBALL,049427410,0
35,35,09/28/1976,TYRONE HYDRAULICS,090243410,0
36,36,10/29/1976,CHEFS INTERNATIONAL,016308210,0
37,37,11/09/1976,DATA RESOURCES INC,023785710,0
38,38,12/15/1976,BOKUM,009750010,0
39,39,12/16/1976,BEAR CREEK,007379910,0
40,40,12/16/1976,PCA INTERNATIONAL,069318010,0
41,41,01/06/1977,TETRA TECH,088162110,0
42,42,01/18/1977,FREMONT GENERAL,035728810,0
43,43,01/25/1977,OMEGA OPTICAL,068290110,0
44,44,01/27/1977,BROUGHAM INDUSTRIES,011483020,0
45,45,02/01/1977,CONTINUOS CURVE LENS,021217710,0
46,46,02/09/1977,ST JUDE MEDICAL,079084910,0
47,47,03/24/1977,JHIRMACK ENTERPRISES,047736820,0
48,48,04/14/1977,JENN-AIR,047614010,0
49,49,04/27/1977,TESDATA SYSTEMS,088159710,0
50,50,05/12/1977,AMERICAN CLIPPER,002514710,0
51,51,06/16/1977,HOP-IN FOOD STORES,043933610,0
52,52,06/21/1977,GEOSOURCE,037364710,0
53,53,06/22/1977,HARPER GROUP,041345910,0
54,55,07/27/1977,TPC COMMUNICATION,087261520,0
55,57,09/14/1977,TRI-AMERICAN CORPORATI,089531410,0
56,59,10/11/1977,CENTURY 21 REAL ESTATE,015669610,0
57,60,11/23/1977,PAIN CONTROL CENTERS,069562110,0
58,61,12/14/1977,JLG INDUSTRIES,046621010,0
59,62,12/14/1977,TANDEM COMPUTERS,087537010,0
60,63,12/21/1977,TELENET,087990310,0
61,64,04/11/1978,SUNTEC SYSTMS,086787310,0
62,65,04/12/1978,FEDERAL EXPRESS CORP,031330910,0
63,66,04/25/1978,EMPLOYEE BENEFITS,029216410,0
64,67,06/08/1978,GENRAD,037244710,0
65,68,07/11/1978,PARADYNE CORP,069911310,0
66,69,07/13/1978,MOUNTAIN HIGH,062405410,0
67,70,08/02/1978,CHERRY ELECTRICAL PROD,016454110,0
68,71,08/02/1978,CULLINANE,023003210,0
69,72,08/21/1978,RANDAL DATA SYSTEMS,075225010,0
70,73,09/07/1978,EVANS & SUTHERLAND,029909610,0
71,74,09/19/1978,NUCLEAR METALS,067090110,0
72,75,09/20/1978,COLOR TILE,019626710,0
73,76,09/21/1978,OIL BASE,067778510,0
74,77,09/28/1978,FLOATING POINT SYSTEM,033973410,0
75,78,10/18/1978,ROBINSON NUGENT,077081010,0
76,79,10/19/1978,SCIENTIFIC TIME SHAR,080880210,0
77,80,10/26/1978,XIDEX,098490010,0
78,81,11/16/1978,AVANTEK,005349210,0
79,82,11/28/1978,ANECO REINSURANCE,003458110,0
80,83,12/05/1978,COMPACT VIDEO SYSTEMS,020426120,0
81,84,12/06/1978,L LURIA & SON,055048410,0
82,85,12/13/1978,PETROLEUM EQUIP TOOLS,071658310,0
83,86,12/14/1978,RAMTEK,075187410,0
84,87,12/19/1978,NATL RAILWAYS UTILIZ,063732510,0
85,88,01/24/1979,AUTO-TROL TECHNOLOGY,005275410,0
86,89,01/24/1979,BANK OF NEW HAVEN,005591810,0
87,90,01/30/1979,PICCADILLY CAFETERIAS,071956710,0
88,91,02/15/1979,VERBATIM,092335310,0
89,92,03/06/1979,BROOKWOOD HEALTH SERV.,011472010,0
90,93,03/15/1979,OIL CITY PETROLEUM,067786010,0
91,94,03/28/1979,WESTERN PACIFIC RR,095913010,0
92,95,04/03/1979,SAFETY-KLEEN,078648410,0
93,96,04/06/1979,UNIT DRILLING,090921810,0
94,97,04/17/1979,TELECO OILFIELD SERV.,087927210,0
95,98,04/24/1979,UNITED TELECOMMUNICATIONS,091302410,0
96,99,04/27/1979,AMERICAN MGMT. SYSTEMS,002735210,0
97,100,05/02/1979,STRYKER,086366710,0
98,101,05/04/1979,BIOMED. REF. LABS,009061010,0
99,102,05/04/1979,BRAE,010480210,0
100,103,05/22/1979,PETX PETROLEUM,069331110,0
101,104,06/01/1979,SYMBOL TECHNOLOGIES,087150810,0
102,105,06/07/1979,ATLANTIC RESEARCH,004881610,0
103,106,06/14/1979,TOPAZ,089054110,0
104,107,06/26/1979,PRINTRONIX,074257810,0
105,108,06/27/1979,NICKLOS OIL & GAS,065404810,0
106,109,07/03/1979,ANTENNAS FOR COMM.,003672910,0
107,110,07/17/1979,"SANDERS, RC TECH.",080000810,0
108,111,07/19/1979,DEPENDABLE INSUR. GRP.,024951810,0
109,112,08/06/1979,APPLIED SOLAR ENERGY,003823920,0
110,113,08/07/1979,WALBAR,093114610,0
111,114,08/23/1979,UNITED PETROSEARCH,091132810,0
112,115,08/28/1979,RICHMOND TANK CAR,076536130,0
113,116,09/12/1979,SHOPSMITH,082509810,0
114,117,09/27/1979,SPECTRADYNE,084757110,0
115,118,10/03/1979,WESPERCORP,095106010,0
116,119,10/04/1979,INFORMATICS,045666810,0
117,120,10/04/1979,THOMPSON MEDICAL,088484210,0
118,121,10/09/1979,VALLEN,091926010,0
119,122,10/10/1979,BIOMETRICS,009061610,0
120,123,10/16/1979,HAEMONETICS,040502210,0
121,124,10/16/1979,KEVEX,049271710,0
122,125,10/17/1979,BIO-RESPONSE,009057520,0
123,126,11/20/1979,SPECIALIZED SYSTEMS,084748020,0
124,127,11/29/1979,LIFE INSTRUMENTS,053185110,0
125,128,11/29/1979,THE EXPLORATION CO.,030213310,0
126,129,12/05/1979,ADAC LABS,000531310,0
127,130,12/06/1979,EMPIRE OF CAROLINA,029200710,0
128,131,12/06/1979,TIE / COMMUNICATIONS,087246410,0
129,132,12/12/1979,NBI,062873510,0
130,133,12/12/1979,THOUSAND TRAILS,088550010,0
131,134,12/13/1979,HARKEN OIL & GAS,041255210,0
132,135,12/18/1979,TRIAD SYSTEMS,089581810,0
133,136,12/19/1979,BIOCHEM INTERNATIONAL,009058510,0
134,137,12/20/1979,MOXA ENERGY,062468310,0
135,138,01/30/1980,PYRO-MAGNETICS,074724510,0
136,139,02/13/1980,PASSPORT TRAVEL,070285210,0
137,140,02/28/1980,BLOCKER ENERGY,009368010,0
138,141,03/04/1980,ANTHEM ELECTRONICS,003673210,0
139,142,03/11/1980,CADO SYSTEMS,012760410,0
140,143,03/11/1980,SILTEC,082727910,0
141,144,03/13/1980,DIMIS,025434910,0
142,145,03/13/1980,RADIOGRAPHIC,075040910,0
143,146,04/30/1980,GEOKINETICS,037291010,0
144,147,05/08/1980,EMPIRE AIRLINES,029159310,0
145,148,05/20/1980,CORCOM,021835610,0
146,149,05/20/1980,SCI-TEX,080861910,0
147,150,05/21/1980,Gulf Canada Ltd,40218L206,0
148,151,05/21/1980,UP-RIGHT,091529410,0
149,152,05/29/1980,NITRON,065480010,0
150,153,06/12/1980,ENZO BIOCHEM,029410010,0
151,154,06/12/1980,INT'L CAP'L EQUIP,045922810,0
152,155,06/17/1980,BROCK HOTEL,111632113,0
153,156,06/17/1980,PARAHO DEVELOPMENT,069915010,0
154,157,06/19/1980,ANDREW,003442510,0
155,158,06/19/1980,GENERAL NUTRITION,370471104,0
156,159,06/19/1980,TECHNODYNE,087861210,0
157,160,06/25/1980,MAGNUSON COMPUTER,055972610,0
158,161,07/02/1980,GOODY PRODUCTS,038248610,0
159,162,07/09/1980,TYLAN,090216710,0
160,163,07/11/1980,GENERAL DEFENSE,036949110,0
161,164,07/15/1980,TELLABS,087966410,0
162,165,07/16/1980,OPTIMUM HOLDING,068390410,0
163,166,07/22/1980,APPLICON,003814410,0
164,167,07/23/1980,AMERICAN GASAHOL,002635010,0
165,168,07/24/1980,ADVANCED SYSTEMS,000754710,0
166,169,07/31/1980,GAMMA BIOLOGICALS,036465710,0
167,170,08/06/1980,MONOLITHIC MEMORIES,609836101,0
168,171,08/12/1980,SERVICE FRACTURING,081790810,0
169,172,08/20/1980,BANCTEC,005978410,0
170,173,09/05/1980,SYSTEM INDUSTRIES,087190010,0
171,174,09/16/1980,ISC SYSTEMS,045013510,0
172,175,09/16/1980,MID PACIFIC AIRLINES,059541210,0
173,176,09/18/1980,SAT TEL ASSOC RESOURCES,080401610,0
174,177,09/23/1980,OXYGEN ENRICHMENT,069208010,0
175,178,09/24/1980,EAGLE EXPLORATION,026951010,0
176,179,09/25/1980,INT'L POWER MACHINES,046018410,0
177,180,09/30/1980,TACOMA BOATBLDG,087345210,0
178,181,10/03/1980,BDM INTERNATIONAL,005537810,0
179,182,10/07/1980,AM CABLE TV,000165010,0
180,183,10/07/1980,TEAM,087815510,0
181,184,10/08/1980,KLA INSTRUMENTS,048248010,0
182,185,10/14/1980,GENENTECH,036871010,0
183,186,10/15/1980,YANKEE OIL,098477710,0
184,187,10/28/1980,XICOR,098490310,0
185,188,10/29/1980,AMERICAN METALS,002748710,0
186,189,11/03/1980,NETWORK SYSTEMS,064121710,0
187,190,11/06/1980,HEALTH INFORMATION,042218010,0
188,191,11/06/1980,PEOPLE EXPRESS,070976410,0
189,192,11/12/1980,AMPECO,002990010,0
190,193,11/13/1980,STEIGER TRACTOR,085835910,0
191,194,11/18/1980,Storage Equities Inc,862110103,0
192,195,11/20/1980,SECURITY AMERICA,081375410,0
193,196,11/21/1980,ADVEST,000756610,0
194,197,11/26/1980,SAXON OIL,080557510,0
195,198,12/02/1980,MOVIE SYSTEMS,062459510,0
196,199,12/02/1980,NIKE,065410610,0
197,200,12/02/1980,SEA GALLEY,081137710,0
198,201,12/03/1980,DRECO ENERGY,026152810,0
199,202,12/03/1980,K-TRON,048273010,0
200,203,12/04/1980,MIDWAY AIRLINES,059813010,0
201,204,12/09/1980,BSD MEDICAL,005566310,0
202,205,12/12/1980,Apple Computer,003783310,0
203,206,12/15/1980,UNIV COMMUNICATION,091342410,0
204,207,12/16/1980,C3,012652010,0
205,208,12/16/1980,RATLIFF DRILLING,075409510,0
206,209,12/17/1980,DECA ENERGY,024276910,0
207,210,12/17/1980,DRILLERS,026205210,0
208,211,12/18/1980,BELLWETHER,007989510,0
209,212,12/18/1980,ZENTEC,098942810,0
210,213,12/23/1980,DELMED,024711410,0
211,214,12/31/1980,INTELLIGENT SYSTEMS,045815810,0
212,215,01/06/1981,ISSC INDL SOLID ST CTL,045030510,0
213,216,01/07/1981,MATRIX SCIENCE,057685010,0
214,217,01/08/1981,NUTRI/SYSTEM,067061110,0
215,218,01/08/1981,PARTNERS OIL,070212510,0
216,219,01/22/1981,DIAGNOSTIC/RETRIEVAL,025245610,0
217,220,01/27/1981,DYSAN,026817910,0
218,221,01/29/1981,CHEM-TRONICS,016353210,0
