SPAC IPO ,Date of IPO,CUSIP,MergeKey,ClosestMatch
Aetherium Acquisition Corp.,12/29/2021,00809J200,Aetherium Acq,"('Aetherium Acq', 90, 15110)"
Welsbach Technology Metals Acquisition Corp.,12/27/2021,950415208,Metals Acquisition Corp,"('Metals Acquisition Corp', 90, 14740)"
Arogo Capital Acquisition Corp.,12/23/2021,42644203,AR Capital Acquisition Corp,"('AR Capital Acquisition Corp', 95, 12564)"
Gardiner Healthcare Acquisitions Corp.,12/21/2021,365506203,Healthcare Acquisition,"('Healthcare Acquisition', 90, 7056)"
Larkspur Health Acquisition Corp.,12/20/2021,51724W206,Larkspur Health Acquisition Co,"('Larkspur Health Acquisition Co', 97, 15104)"
Sagaliam Acquisition Corp.,12/20/2021,78661R205,Sagaliam Acquisition Corp,"('Sagaliam Acquisition Corp', 100, 15105)"
NorthView Acquisition Corp.,12/20/2021,66718N202,NorthView Acquisition Corp,"('NorthView Acquisition Corp', 100, 15103)"
Revelstone Capital Acquisition Corp.,12/16/2021,76137R205,Revelstone Capital Acquisition,"('Revelstone Capital Acquisition', 95, 15102)"
AP Acquisition Corp.,12/16/2021,G04058122,AP Acquisition Corp,"('AP Acquisition Corp', 100, 15101)"
CF Acquisition Corp. VII,12/15/2021,12521H206,CF Acquisition Corp. VII,"('CF Acquisition Corp. VII', 100, 15096)"
Ault Disruptive Technologies Corp.,12/15/2021,05150A203,Ault Disruptive Technologies C,"('Ault Disruptive Technologies C', 95, 15095)"
FTAC Emerald Acquisition Corp.,12/15/2021,29103K209,FTAC Emerald Acquisition Corp,"('FTAC Emerald Acquisition Corp', 100, 15097)"
Spree Acquisition Corp. 1 Ltd,12/15/2021,G83745110,Spree Acquisition Corp. 1 Ltd,"('Spree Acquisition Corp. 1 Ltd', 100, 15100)"
Swiftmerge Acquisition Corp.,12/14/2021,G63836129,Swiftmerge Acquisition Corp,"('Swiftmerge Acquisition Corp', 100, 15094)"
EVe Mobility Acquisition Corp.,12/14/2021,G3218G125,EVe Mobility Acquisition Corp,"('EVe Mobility Acquisition Corp', 100, 15089)"
Pearl Holdings Acquisition Corp.,12/14/2021,G44525122,Pearl Holdings Acquisition Cor,"('Pearl Holdings Acquisition Cor', 98, 15092)"
Investcorp Europe Acquisition Corp. I,12/14/2021,G4923T121,Investcorp Europe Acquisition,"('Investcorp Europe Acquisition', 95, 15091)"
Ahren Acquisition Corp.,12/14/2021,G01322117,Ahren Acquisition Corp.,"('Ahren Acquisition Corp.', 100, 15087)"
Battery Future Acquisition Corp.,12/14/2021,G0888J116,Battery Future Acquisition Cor,"('Battery Future Acquisition Cor', 98, 15088)"
Kairous Acquisition Corp. Ltd.,12/13/2021,G52131102,Kairous Acquisition Corp Ltd,"('Kairous Acquisition Corp Ltd', 98, 15085)"
BurTech Acquisition Corp.,12/10/2021,123013203,BurTech Acquisition Corp.,"('BurTech Acquisition Corp.', 100, 15083)"
Trajectory Alpha Acquisition Corp.,12/9/2021,89301B203,Trajectory Alpha Acquisition C,"('Trajectory Alpha Acquisition C', 95, 15081)"
Financial Strategies Acquisition Corp.,12/9/2021,31772T206,Financial Strategies Acquisiti,"('Financial Strategies Acquisiti', 90, 15075)"
Power & Digital Infrastructure Acquisition II Corp.,12/9/2021,73919C209,Power & Digital,"('Power & Digital', 90, 14256)"
Healthcare AI Acquisition Corp.,12/9/2021,G4373K125,Healthcare AI Acquisition Corp,"('Healthcare AI Acquisition Corp', 100, 15078)"
Athena Technology Acquisition Corp. II,12/9/2021,04687C204,Athena Technology Acquisition,"('Athena Technology Acquisition', 95, 15074)"
Forbion European Acquisition Corp.,12/9/2021,G3619H128,Forbion European Acquisition C,"('Forbion European Acquisition C', 95, 15076)"
Southport Acquisition Corp.,12/9/2021,84465L204,Southport Acquisition Corp,"('Southport Acquisition Corp', 100, 15080)"
Growth For Good Acquisition Corp.,12/9/2021,G41522122,Growth for Good Acquisition Co,"('Growth for Good Acquisition Co', 97, 15077)"
Target Global Acquisition I Corp.,12/8/2021,G8675N117,Target Global Acquisition I Co,"('Target Global Acquisition I Co', 97, 15073)"
Jackson Acquisition Co.,12/8/2021,46653C205,Jackson Acquisition Co,"('Jackson Acquisition Co', 100, 15069)"
Inception Growth Acquisition Ltd.,12/8/2021,45333D203,Inception Growth Acquisition L,"('Inception Growth Acquisition L', 97, 15067)"
Emerging Markets Horizon Corp.,12/8/2021,G3033X113,Emerging Markets Horizon Corp,"('Emerging Markets Horizon Corp', 100, 15064)"
Sculptor Acquisition Corp. I,12/8/2021,G7T983129,Sculptor Acquisition Corp I,"('Sculptor Acquisition Corp I', 98, 15072)"
Integrated Wellness Acquisition Corp.,12/8/2021,G4828B126,Integrated Wellness Acquisitio,"('Integrated Wellness Acquisitio', 91, 15068)"
Genesis Growth Tech Acquisition Corp.,12/8/2021,G3R23D110,Genesis Growth Tech Acquisitio,"('Genesis Growth Tech Acquisitio', 91, 15065)"
Crypto 1 Acquisition Corp.,12/7/2021,G3168A128,Crypto 1 Acquisition Corp,"('Crypto 1 Acquisition Corp', 100, 15058)"
Jupiter Wellness Acquisition Corp.,12/6/2021,4.82E+211,Jupiter Acquisition Corp,"('Jupiter Acquisition Corp', 95, 14785)"
Motive Capital Corp. II,12/6/2021,G6293R122,Motive Capital Corp II,"('Motive Capital Corp II', 98, 15061)"
APx Acquisition Corp. I,12/6/2021,G0440J117,APx Acquisition Corp I,"('APx Acquisition Corp I', 98, 15057)"
Globalink Investment Inc.,12/6/2021,37892F208,Globalink Investment Inc,"('Globalink Investment Inc', 100, 15059)"
BioPlus Acquisition Corp.,12/2/2021,G11217109,BioPlus Acquisition Corp,"('BioPlus Acquisition Corp', 100, 15053)"
Blue Ocean Acquisition Corp.,12/2/2021,G1330L113,Blue Ocean Acquisition Corp,"('Blue Ocean Acquisition Corp', 100, 15054)"
ST Energy Transition I Ltd.,12/2/2021,G8465L123,ST Energy Transition I Ltd,"('ST Energy Transition I Ltd', 100, 15056)"
Bullpen Parlay Acquisition Co.,12/2/2021,G1792A126,Bullpen Parlay Acquisition Co,"('Bullpen Parlay Acquisition Co', 100, 15055)"
Games & Esports Experience Acquisition Corp.,12/1/2021,G3731J101,CEA Acquisition Corp,"('CEA Acquisition Corp', 87, 10251)"
ROC Energy Acquisition Corp.,12/1/2021,77118V207,ROC Energy Acquisition Corp,"('ROC Energy Acquisition Corp', 100, 15051)"
