,datadate,cusip,scf,src,apdedate,fdate,pdate,acchg,acominc,acox,am,ano,ao,aoloch,aox,ap,at,caps,capx,ch,che,cogs,cshi,csho,cstk,dd,dlc,dn,do,dt,ebit,ebitda,epspi,fca,gdwl,gp,ib,intan,invt,lct,lt,ni,niadj,np,pi,pnrsho,ppegt,ppent,re,revt,sale,seq,teq,tstk,txt,wcap,naicsh,mkvalt,Seq. No.,Code,Industry
20283,2014-12-31,000307108,7.0,5.0,2014-12-31,2015-04-13,2015-02-25,0.0,0.0,2.664,0.561,,1.197,0.462,1.197,2.001,145.952,88.238,15.584,48.54,48.54,115.098,21.374,21.374,0.021,0.0,4.357,0.126,0.0,28.641,13.208,17.87,0.36,,12.702,17.87,7.548,15.637,0.0,16.769,42.963,7.548,7.548,0.0,8.921,0.0,57.21,49.196,9.215,132.968,132.968,97.474,95.141,0.0,2.555,63.153,622210.0,660.8841,1821.0,622210.0,Psychiatric and Substance Abuse Hospitals 
23764,2001-12-31,000375204,7.0,53.0,,,,-63.0,-1699.0,1596.0,,,9827.0,798.0,9827.0,3991.0,32344.0,221.0,761.0,2767.0,5713.0,18157.0,1200.009,1113.134,1807.0,0.0,4747.0,0.0,-510.0,5510.0,385.0,1172.0,-0.61,,,5569.0,-130.0,,3075.0,19035.0,30115.0,-691.0,-691.0,4280.0,45.0,,7025.0,3003.0,1736.0,23726.0,23726.0,2014.0,,1750.0,105.0,479.0,335311.0,,790.0,335311.0,"Power, Distribution, and Specialty Transformer Manufacturing "
795,2014-12-31,000899104,7.0,5.0,2014-12-31,2015-04-10,2015-03-11,0.0,0.0,0.0,0.0,,0.298,0.119,0.027,1.779,27.227,75.458,2.323,17.199,21.852,3.495,9.292,9.292,0.001,0.0,0.014,14.905,0.0,14.97,-16.019,-15.771,-1.81,,0.0,2.421,-16.813,0.0,1.709,4.198,21.218,-16.813,-16.813,0.0,-17.365,0.0,4.125,2.841,-69.45,5.916,5.916,6.009,6.009,0.0,-0.552,19.89,325414.0,103.7916,506.0,325414.0,Biological Product (except Diagnostic) Manufacturing 
5229,2001-04-30,00089C107,7.0,5.0,,,,-1.785,1.413,8.08,,,11.255,8.837,11.255,6.833,146.707,102.429,3.682,29.22,31.133,44.443,13.553,13.553,0.136,11.339,0.621,0.0,0.0,11.96,1.198,6.991,0.04,,,55.74,2.293,,39.025,30.704,42.043,0.508,0.508,0.0,2.33,,47.284,29.569,2.099,100.183,100.183,104.664,,0.0,0.037,71.958,334515.0,216.1704,770.0,334515.0,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals 
5683,2000-12-31,00089J102,7.0,5.0,,,,0.0,,0.292,0.0,,0.591,0.839,0.591,0.359,4.885,24.529,0.081,3.848,3.848,4.429,10.558,10.558,0.106,0.0,0.0,0.0,0.0,0.0,-4.487,-4.415,-0.42,,0.0,-4.415,-4.288,0.0,0.045,0.417,0.417,-4.288,-4.288,0.0,-4.223,,0.348,0.109,-20.167,0.014,0.014,4.468,,0.0,0.065,3.768,334413.0,7.9185,758.0,334413.0,Semiconductor and Related Device Manufacturing 
4935,2018-12-31,00090Q103,7.0,5.0,2018-12-31,2019-03-29,2019-03-13,0.0,-71.779,125.826,1206.536,,550.244,-12.421,120.279,221.341,17208.608,5969.347,703.089,363.177,367.162,1041.336,766.881,766.881,7.669,0.0,58.184,6295.912,0.0,10002.296,352.624,2283.553,-0.81,-3.228,5081.887,3540.503,-609.155,12570.081,115.315,1012.49,12983.803,-609.155,-609.155,0.0,-632.618,0.0,5022.558,3234.266,-1752.211,4581.839,4581.839,4224.805,4224.805,0.0,-23.463,-158.473,561621.0,4608.9548,1693.0,561621.0,Security Systems Services (except Locksmiths) 
4298,2000-09-30,000949107,,,,,,,,,,,,,,,,,,,,,,22.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,,1490.0,525990.0,Other Financial Vehicles 
4674,2000-12-31,000973107,7.0,5.0,,,,0.0,,19.904,,,165.132,115.944,165.132,337.407,1067.803,171.22,9.367,48.298,48.298,1238.16,17.04,17.04,0.17,0.0,29.971,0.0,0.0,377.471,64.472,80.389,1.72,,144.25,132.437,28.939,,401.325,473.926,847.559,28.939,28.939,10.863,47.016,,137.351,77.888,48.854,1370.597,1370.597,220.244,,0.0,18.077,350.857,334412.0,268.38,757.0,334412.0,Bare Printed Circuit Board Manufacturing  
5990,2000-12-31,00099X919,7.0,5.0,,,,0.0,,5.084,0.925,,7.802,-3.947,7.802,14.917,159.584,0.0,10.342,1.001,1.001,68.05,20.535,20.535,92.496,0.0,67.276,0.131,0.0,43.101,16.82,21.027,0.38,0.675,22.479,47.768,7.034,35.314,16.579,86.217,87.915,7.034,7.034,25.873,6.883,,44.245,36.71,-20.827,115.818,115.818,71.669,,0.0,-0.151,-6.459,334111.0,80.8566,742.0,334111.0,Electronic Computer Manufacturing 
221,2013-09-30,00101J106,7.0,5.0,2013-09-27,2013-11-22,2013-11-20,0.0,80.0,279.0,569.0,,671.0,111.0,151.0,203.0,9913.0,3957.0,651.0,138.0,138.0,436.0,208.981,208.981,2.0,0.0,3.0,3190.0,0.0,3376.0,760.0,1702.0,1.9,,3476.0,2873.0,421.0,6398.0,66.0,758.0,5591.0,421.0,421.0,0.0,642.0,0.0,4750.0,2237.0,363.0,3309.0,3309.0,4322.0,4322.0,0.0,221.0,-178.0,561612.0,8497.1675,1690.0,561612.0,Security Guards and Patrol Services 
