,offer date,IPO name,cusip,SPAC IPO ,datadate,scf,src,apdedate,fdate,pdate,acchg,acominc,acox,am,ano,ao,aoloch,aox,ap,at,caps,capx,ch,che,cogs,cshi,csho,cstk,dd,dlc,dn,do,dt,ebit,epspi,fca,gdwl,gp,ib,intan,invt,lct,lt,ni,niadj,np,pi,pnrsho,ppegt,ppent,re,revt,sale,seq,teq,tstk,txt,wcap,naicsh,mkvalt
0,06/05/1986,Genzyme,372917104,0,2000-12-31,7.0,5.0,,,,0.0,,74.848,10.928,,40.992,53.715,40.992,20.091,2499.053,1269.284,72.591,135.841,232.485,461.177,95.59,95.484,0.956,0.0,1.448,5.493,0.0,455.684,251.278,1.41,-0.2,,291.306,121.455,977.147,108.767,166.583,748.773,121.455,121.455,0.0,173.97,,663.898,446.759,480.941,752.483,752.483,1750.28,,0.901,57.14,438.733,325414.0,8587.5923
1,06/16/1992,Columbia Banking System,197236102,0,2000-12-31,,53.0,,,,,,,,,7.98,,,681.305,785.648,0.0,,43.998,76.952,21.387,14.393,14.393,44.619,,12.014,,0.0,,22.861,0.62,0.0,,46.527,8.871,11.113,1.534,,706.848,8.871,8.871,4.514,14.993,,,18.679,34.181,67.914,67.914,78.8,,0.0,6.122,,522110.0,122.3405
2,02/19/1993,Nuveen Prem Inc Muni Fund 4,6706K4105,0,2000-10-31,,,,,,,,,,,,,,,,,,,,,,43.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
3,04/22/1993,TCW/DW Term Trust 2003,87234U108,0,2001-03-31,,,,,,,,,,,,,,,,,,,,,,85.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
4,05/20/1993,Nuveen CT Prem Inc Muni Fund,67060D107,0,2001-05-31,,,,,,,,,,,,,,,,,,,,,,5.244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
5,05/20/1993,Nuveen MO Premium Inc Muni Fd,67060Q108,0,2001-05-31,,,,,,,,,,,,,,,,,,,,,,2.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
6,10/22/1993,ACM Managed Dollar Income Fund,000949107,0,2000-09-30,,,,,,,,,,,,,,,,,,,,,,22.066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
7,11/18/1993,Asia Tigers Fund Inc,04516T105,0,2000-10-31,,,,,,,,,,,,,,,,,,,,,,20.515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
8,11/18/1993,Putnam Investment Grade Munici,746807106,0,2000-10-31,,,,,,,,,,,,,,,,,,,,,,4.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
9,01/28/1994,Worldwide DollarVest Fund Inc,981564107,0,2000-11-30,,,,,,,,,,,,,,,,,,,,,,6.494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
10,02/14/1994,The India Fund Inc,454089103,0,2000-12-31,,,,,,,,,,,,,,,,,,,,,,33.043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
11,02/25/1994,Delaware Group Global Dividend,245916101,0,2000-11-30,,,,,,,,,,,,,,,,,,,,,,6.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
12,02/25/1994,Southern Africa Fund Inc,842157109,0,2000-11-30,,,,,,,,,,,,,,,,,,,,,,4.806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
13,04/29/1994,Templeton Emerging Markets,880190103,0,2001-04-30,,,,,,,,,,,,,,,,,,,,,,4.178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525990.0,
