,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,formatted offer date
12940,2017-01-12,Gores Holdings II Inc,GSHTU,382867208,0,0,1,0,46875000,16631,2016,,,,01/12/2017
12941,2017-01-20,Fintech Acquisition Corp II,FNTEU,31810G208,0,0,1,0,20960000,16630,-99,,,,01/20/2017
12942,2017-01-20,Keane Group Inc,FRAC,48669A108,0,0,0,0,.,16557,1973,,,,01/20/2017
12943,2017-01-26,AnaptysBio Inc,ANAB,032724106,0,1,0,0,.,16562,2005,,,,01/26/2017
12944,2017-01-26,Obseva SA,OBSV,H5861P103,0,1,0,0,.,16573,2012,,,,01/26/2017
12945,2017-01-27,JELD-WEN Holding Inc,JELD,47580P103,0,0,0,0,.,16554,1960,,,,01/27/2017
12946,2017-01-27,Jagged Peak Energy Inc,JAG,47009K107,1,2,0,0,.,16553,2013,,,,01/27/2017
12947,2017-01-27,Jounce Therapeutics Inc,JNCE,481116101,0,1,0,0,.,16570,2012,,,,01/27/2017
12948,2017-01-27,Nuveen Pref & Income 2022,JPT,67075T105,0,0,0,0,.,16558,-99,,,,01/27/2017
12949,2017-01-27,REV Group Inc,REVG,749527107,1,2,0,0,.,16560,1950,,,,01/27/2017
12950,2017-02-01,Invitation Homes Inc,INVH,46187W107,0,2,0,0,.,16581,2012,,,,02/01/2017
12951,2017-02-01,Laureate Education Inc,LAUR,518613203,0,0,1,0,168300971,16591,1998,,,,02/01/2017
12952,2017-02-03,Kimbell Royalty Partners LP,KRP,49435R102,1,0,1,0,16332708,16582,2001,,,,02/03/2017
12953,2017-02-03,Ramaco Resources Inc,METC,75134P303,0,2,0,0,.,16592,2014,,,,02/03/2017
12954,2017-02-10,Clipper Realty Inc,CLPR,18885T108,0,0,0,0,.,16577,2015,,,,02/10/2017
12955,2017-02-10,Foundation Building Materials,FBM,350392106,1,0,0,0,.,16579,1991,,,,02/10/2017
12956,2017-02-10,Sachem Capital Corp,SACH,78590A109,0,0,0,0,.,16585,-99,,,,02/10/2017
12957,2017-02-28,BlackRock 2022 Global Income,BGIO,09258P104,0,0,0,0,.,16576,-99,,,,02/28/2017
12958,2017-03-01,Hamilton Lane Inc,HLNE,407497106,0,0,1,0,45005761,16632,1991,,,,03/01/2017
12959,2017-03-02,Snap Inc,SNAP,83304A106,0,1,1,1,1157213232,16595,2010,,,,03/02/2017
12960,2017-03-09,Beyondspring Inc,BYSI,G10830100,0,0,0,0,.,16626,2014,,,,03/09/2017
12961,2017-03-09,J.Jill Inc,JILL,466189107,0,0,0,0,.,16611,1959,,,,03/09/2017
12962,2017-03-10,Matlin & Partners Acq Corp,MPACU,57682V106,0,0,1,0,30000000,16674,2016,,,,03/10/2017
12963,2017-03-10,Presidio Inc,PSDO,74102M103,0,0,0,1,.,16642,2003,,,,03/10/2017
12964,2017-03-15,Ardagh Group SA,ARD,L0223L101,0,0,1,0,233896000,16624,1932,,,,03/15/2017
12965,2017-03-16,Canada Goose Holdings Inc,GOOS,135086106,0,2,1,0,106308154,16603,1957,,,,03/16/2017
12966,2017-03-17,MuleSoft Inc,MULE,625207105,0,1,1,1,125991577,16614,2003,,,,03/17/2017
12967,2017-03-17,ProPetro Holding Corp,PUMP,74347M108,0,2,0,0,.,16617,2005,,,,03/17/2017
12968,2017-03-24,Alteryx Inc,AYX,02156B103,0,1,1,0,56320544,16597,1997,,,,03/24/2017
12969,2017-03-24,Silver Run Acquisition II Corp,SRUNU,82812A20,0,0,1,0,112500000,16677,2016,,,,03/24/2017
12970,2017-03-29,Kayne Anderson Acq Corp,KAACU,48661U102,0,0,1,0,43750000,16673,2016,,,,03/29/2017
12971,2017-03-30,Nuveen Credit Opportun 2022,JCO,67075U102,0,0,0,0,.,16615,-99,,,,03/30/2017
12972,2017-04-05,Hess Midstream Partners LP,HESM,428104103,0,0,1,0,29496654,16665,2014,,,,04/05/2017
12973,2017-04-06,Elevate Credit Inc,ELVT,28621V101,0,1,0,0,.,16659,2014,,,,04/06/2017
12974,2017-04-06,Schneider National Inc,SNDR,80689H102,0,0,1,0,173538390,16648,1935,,,,04/06/2017
12975,2017-04-07,Forum Merger Corp,FMCI,34985B202,0,0,1,0,18593750,16704,-99,,,,04/07/2017
12976,2017-04-07,Okta Inc,OKTA,679295105,0,1,1,1,90758777,16649,2009,,,,04/07/2017
12977,2017-04-10,Vantage Energy Acq Corp,VEACU,92211L204,0,0,1,0,60000000,16683,2017,,,,04/10/2017
12978,2017-04-11,Azul SA,AZUL,05501U106,0,0,1,0,329957468,.,2008,,,,04/11/2017
12979,2017-04-12,Netshoes (Cayman) Ltd,NETS,G6455X107,0,1,0,1,.,16669,2000,,,,04/12/2017
12980,2017-04-13,Cadence Bancorp,CADE,12739A100,0,0,1,0,82500000,16654,2010,,,,04/13/2017
12981,2017-04-13,Tocagen Inc,TOCA,888846102,0,0,0,0,.,16681,2007,,,,04/13/2017
12982,2017-04-13,Warrior Met Coal,HCC,93627C101,0,0,0,0,.,16653,1977,,,,04/13/2017
12983,2017-04-13,Yext Inc,YEXT,98585N106,0,1,0,1,.,16650,2006,,,,04/13/2017
12984,2017-04-21,Select Energy Services Inc,WTTR,81617J301,0,2,1,0,69240511,16667,2007,,,,04/21/2017
12985,2017-04-27,Floor & Decor Holdings Inc,FND,339750101,0,2,1,0,92358577,16664,2000,,,,04/27/2017
12986,2017-04-28,Carvana Co,CVNA,146869102,0,0,1,1,132236210,16655,2012,,,,04/28/2017
12987,2017-04-28,China Rapid Finance,XRF,16953Q105,0,0,1,0,63202256,16656,2004,,,,04/28/2017
12988,2017-04-28,Cloudera Inc,CLDR,18914U100,0,1,0,1,.,16657,2008,,,,04/28/2017
12989,2017-04-28,Emerald Expositions Events Inc,EEX,29103B100,0,0,0,0,.,16660,1985,,,,04/28/2017
12990,2017-04-28,NCS Multistage Holdings Inc,NCSM,628877102,0,0,0,0,.,16675,2010,,,,04/28/2017
12991,2017-04-28,Zymeworks Inc,ZYME,98985W102,0,1,1,0,24924461,16668,2003,,,,04/28/2017
12992,2017-05-04,Antero Midstream GP LP,AMGP,03675Y103,0,0,0,0,.,16738,-99,,,,05/04/2017
12993,2017-05-04,Biohaven Pharmaceutical Hldg,BHVN,G11196105,0,1,0,0,.,16751,2013,,,,05/04/2017
12994,2017-05-04,TPG Pace Energy Holdings Corp,TPGEU,872656202,0,0,1,0,75000000,16771,2017,,,,05/04/2017
12995,2017-05-04,Urogen Pharma Ltd,URGN,M96088105,0,1,0,0,.,16711,2004,,,,05/04/2017
