,0
Unnamed: 0,int64
offer date,datetime64[ns]
IPO name,object
cusip,object
SPAC IPO ,int64
datadate,datetime64[ns]
scf,float64
src,float64
apdedate,datetime64[ns]
fdate,datetime64[ns]
pdate,datetime64[ns]
acchg,float64
acominc,float64
acox,float64
am,float64
ano,float64
ao,float64
aoloch,float64
aox,float64
ap,float64
at,float64
caps,float64
capx,float64
ch,float64
che,float64
cogs,float64
cshi,float64
csho,float64
cstk,float64
dd,float64
dlc,float64
dn,float64
do,float64
dt,float64
ebit,float64
epspi,float64
fca,float64
gdwl,float64
gp,float64
ib,float64
intan,float64
invt,float64
lct,float64
lt,float64
ni,float64
niadj,float64
np,float64
pi,float64
pnrsho,float64
ppegt,float64
ppent,float64
re,float64
revt,float64
sale,float64
seq,float64
teq,float64
tstk,float64
txt,float64
wcap,float64
naicsh,float64
mkvalt,float64
