,SPAC IPO ,Date of IPO,IPO name
0,Welsbach Technology Metals Acquisition Corp.,12/27/2021,Arogo Capital Acq
1,Gardiner Healthcare Acquisitions Corp.,12/21/2021,Larkspur Health Acquisition Co
2,Gardiner Healthcare Acquisitions Corp.,12/21/2021,Sagaliam Acquisition Corp
3,Larkspur Health Acquisition Corp.,12/20/2021,NorthView Acquisition Corp
4,Sagaliam Acquisition Corp.,12/20/2021,NorthView Acquisition Corp
5,NorthView Acquisition Corp.,12/20/2021,NorthView Acquisition Corp
6,Revelstone Capital Acquisition Corp.,12/16/2021,Ault Disruptive Technologies C
7,Revelstone Capital Acquisition Corp.,12/16/2021,CF Acquisition Corp. VII
8,Revelstone Capital Acquisition Corp.,12/16/2021,FTAC Emerald Acquisition Corp
9,Revelstone Capital Acquisition Corp.,12/16/2021,Immix Biopharma Inc
10,Revelstone Capital Acquisition Corp.,12/16/2021,Nuveen Variable Rate Preferred
11,Revelstone Capital Acquisition Corp.,12/16/2021,Spree Acquisition Corp. 1 Ltd
12,AP Acquisition Corp.,12/16/2021,Ault Disruptive Technologies C
13,AP Acquisition Corp.,12/16/2021,CF Acquisition Corp. VII
14,AP Acquisition Corp.,12/16/2021,FTAC Emerald Acquisition Corp
15,AP Acquisition Corp.,12/16/2021,Immix Biopharma Inc
16,AP Acquisition Corp.,12/16/2021,Nuveen Variable Rate Preferred
17,AP Acquisition Corp.,12/16/2021,Spree Acquisition Corp. 1 Ltd
18,CF Acquisition Corp. VII,12/15/2021,Ahren Acquisition Corp.
19,CF Acquisition Corp. VII,12/15/2021,Battery Future Acquisition Cor
20,CF Acquisition Corp. VII,12/15/2021,EVe Mobility Acquisition Corp
21,CF Acquisition Corp. VII,12/15/2021,Genenta Science S.p.A.
22,CF Acquisition Corp. VII,12/15/2021,Investcorp Europe Acquisition
23,CF Acquisition Corp. VII,12/15/2021,Pearl Holdings Acquisition Cor
24,CF Acquisition Corp. VII,12/15/2021,Samsara Inc
25,CF Acquisition Corp. VII,12/15/2021,Swiftmerge Acquisition Corp
26,Ault Disruptive Technologies Corp.,12/15/2021,Ahren Acquisition Corp.
27,Ault Disruptive Technologies Corp.,12/15/2021,Battery Future Acquisition Cor
28,Ault Disruptive Technologies Corp.,12/15/2021,EVe Mobility Acquisition Corp
29,Ault Disruptive Technologies Corp.,12/15/2021,Genenta Science S.p.A.
30,Ault Disruptive Technologies Corp.,12/15/2021,Investcorp Europe Acquisition
31,Ault Disruptive Technologies Corp.,12/15/2021,Pearl Holdings Acquisition Cor
32,Ault Disruptive Technologies Corp.,12/15/2021,Samsara Inc
33,Ault Disruptive Technologies Corp.,12/15/2021,Swiftmerge Acquisition Corp
34,FTAC Emerald Acquisition Corp.,12/15/2021,Ahren Acquisition Corp.
35,FTAC Emerald Acquisition Corp.,12/15/2021,Battery Future Acquisition Cor
36,FTAC Emerald Acquisition Corp.,12/15/2021,EVe Mobility Acquisition Corp
37,FTAC Emerald Acquisition Corp.,12/15/2021,Genenta Science S.p.A.
38,FTAC Emerald Acquisition Corp.,12/15/2021,Investcorp Europe Acquisition
39,FTAC Emerald Acquisition Corp.,12/15/2021,Pearl Holdings Acquisition Cor
40,FTAC Emerald Acquisition Corp.,12/15/2021,Samsara Inc
41,FTAC Emerald Acquisition Corp.,12/15/2021,Swiftmerge Acquisition Corp
42,Spree Acquisition Corp. 1 Ltd,12/15/2021,Ahren Acquisition Corp.
43,Spree Acquisition Corp. 1 Ltd,12/15/2021,Battery Future Acquisition Cor
44,Spree Acquisition Corp. 1 Ltd,12/15/2021,EVe Mobility Acquisition Corp
45,Spree Acquisition Corp. 1 Ltd,12/15/2021,Genenta Science S.p.A.
46,Spree Acquisition Corp. 1 Ltd,12/15/2021,Investcorp Europe Acquisition
47,Spree Acquisition Corp. 1 Ltd,12/15/2021,Pearl Holdings Acquisition Cor
48,Spree Acquisition Corp. 1 Ltd,12/15/2021,Samsara Inc
49,Spree Acquisition Corp. 1 Ltd,12/15/2021,Swiftmerge Acquisition Corp
50,Swiftmerge Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
51,Swiftmerge Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
52,Swiftmerge Acquisition Corp.,12/14/2021,Sidus Space Inc
53,EVe Mobility Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
54,EVe Mobility Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
55,EVe Mobility Acquisition Corp.,12/14/2021,Sidus Space Inc
56,Pearl Holdings Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
57,Pearl Holdings Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
58,Pearl Holdings Acquisition Corp.,12/14/2021,Sidus Space Inc
59,Investcorp Europe Acquisition Corp. I,12/14/2021,Fresh Vine Wine Inc
60,Investcorp Europe Acquisition Corp. I,12/14/2021,Kairous Acquisition Corp Ltd
61,Investcorp Europe Acquisition Corp. I,12/14/2021,Sidus Space Inc
62,Ahren Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
63,Ahren Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
64,Ahren Acquisition Corp.,12/14/2021,Sidus Space Inc
65,Battery Future Acquisition Corp.,12/14/2021,Fresh Vine Wine Inc
66,Battery Future Acquisition Corp.,12/14/2021,Kairous Acquisition Corp Ltd
67,Battery Future Acquisition Corp.,12/14/2021,Sidus Space Inc
68,Alpha Star Acquisition Corp.,12/13/2021,Alpha Star Acquisition Corp
69,Alpha Star Acquisition Corp.,12/13/2021,BurTech Acquisition Corp.
70,Kairous Acquisition Corp. Ltd.,12/13/2021,Alpha Star Acquisition Corp
71,Kairous Acquisition Corp. Ltd.,12/13/2021,BurTech Acquisition Corp.
72,BurTech Acquisition Corp.,12/10/2021,Athena Technology Acquisition
73,BurTech Acquisition Corp.,12/10/2021,Financial Strategies Acquisiti
74,BurTech Acquisition Corp.,12/10/2021,Forbion European Acquisition C
75,BurTech Acquisition Corp.,12/10/2021,Growth for Good Acquisition Co
76,BurTech Acquisition Corp.,12/10/2021,Healthcare AI Acquisition Corp
