,IPO name,ticker,CUSIP,Date of IPO,IS_SPAC
0,Silver Run Acquisition Corp,SRAQU,82811P200,2/29/2016,True
1,Jensyn Acquisition Corp,JSYNU,47632B201,3/7/2016,True
2,Landcadia Holdings II Inc,LCAHU,51476W206,6/1/2016,True
3,M III Acquisition Corp,MIIIU,55378T203,7/7/2016,True
4,Saban Capital Acquisition Corp,SCACU,78516C205,9/21/2016,True
5,Gores Holdings II Inc,GSHTU,382867208,1/12/2017,True
6,Fintech Acquisition Corp II,FNTEU,31810G208,1/19/2017,True
7,Forum Merger Corp,FMCI,34985B202,4/12/2017,True
8,Vantage Energy Acq Corp,VEACU,92211L204,4/17/2017,True
9,TPG Pace Energy Holdings Corp,TPGEU,872656202,5/10/2017,True
10,Modern Media Acquisition Corp,MMDMU,60765P202,5/17/2017,True
11,Hennessy Capital Acq Corp III,HCAC.,42588L204,6/23/2017,True
12,Federal Street Acq Corp,FSACU,31421V206,7/24/2017,True
13,Osprey Energy Acquisition Corp,OSPRU,688397207,7/26/2017,True
14,Pensare Acquisition Corp,WRLS,70957E204,8/1/2017,True
15,Atlantic Acquisition Corp,ATACU,048206205,8/14/2017,True
16,I-AM CAPITAL ACQUISITION Co,IAMXU,45074Q207,8/22/2017,True
17,Draper Oakwood Tech Acq Inc,DOTAU,26146L202,9/15/2017,True
18,Black Ridge Acquisition Corp,BRACU,09216T206,10/10/2017,True
19,Haymaker Acq Corp,HYACU,420870206,10/27/2017,True
20,Legacy Acquisition,LGCU,524643202,11/17/2017,True
21,Big Rock Partners Acq Corp,BRPAU,089482202,11/22/2017,True
22,Leisure Acquisition Corp,LACQU,52539T206,12/5/2017,True
23,Gigcapital Inc,GIG U,37518N205,12/8/2017,True
24,Nebula Acquisition Corp,NEBU.,629076209,1/12/2018,True
25,Gordon Pointe Acq Corp.,GPAQU,382788206,1/30/2018,True
26,DFB Healthcare Acqs Corp,DFBHU,23291E208,2/21/2018,True
27,Opes Acq Corp.,OPESU,68373P209,3/16/2018,True
28,Tiberius Acq Corp,TIBRU,88633A206,3/20/2018,True
29,Pure Acquisition Corp,PACQU,74621Q205,4/17/2018,True
30,Trident Acquisition Corp,TDACU,89615T205,6/1/2018,True
31,Allegro Merger Corp,ALGRU,01749N301,7/6/2018,True
32,Forum Merger II Corp,FMCIU,34986F202,8/7/2018,True
33,Megalith Financial Acquisition,MFACU,58518F208,8/28/2018,True
34,Churchill Capital Corp,CCC.U,17142R202,9/11/2018,True
35,Gores Holdings III Inc,GRSHU,38286G208,9/11/2018,True
36,ChaSerg Technology Acquisition,CTACU,16166A202,10/10/2018,True
37,Graf Industrial Corp,GRAF,384278206,10/18/2018,True
38,AMCI Acquisition Corp,AMCI,00165R200,11/20/2018,True
39,Boxwood Merger Corp,BWMCU,10319T200,11/20/2018,True
40,Fintech Acquisition Corp III,FTACU,31811A309,11/20/2018,True
41,Schultze Special Purpose Acq,SAMAU,80821R208,12/13/2018,True
42,CF Finance Acquisition Corp,CFFAU,12528N206,12/17/2018,True
43,Gores Metropoulos Inc,GMHIU,382872208,2/5/2019,True
44,Monocle Acq Corp,MNCLU,609754205,2/11/2019,True
45,Pivotal Acq Corp,PVT.U,72583A200,2/4/2019,True
46,RMG Acquisition Corp,RGM.U,749641205,2/12/2019,True
47,Acamar Partners Acq Corp,ACAMU,004285201,2/26/2019,True
48,Tuscan Holdings Corp,THCBU,90069K203,3/7/2019,True
49,Crescent Acquisition Corp,CRSAU,22564L204,3/12/2019,True
50,Trine Acquisition Corp,TRNEU,89628U207,3/19/2019,True
51,Insurance Acquisition Corp,INSUU,457867307,3/22/2019,True
52,B. Riley Principal Merger Corp,BRPM.,05586Y205,4/11/2019,True
53,Landcadia Holdings II,LCAHU,51476X204,5/9/2019,True
54,Diamond Eagle Acq Corp,DEACU,25258L208,5/14/2019,True
55,GX Acq Corp,GXGXU,36251A206,5/23/2019,True
56,Proficient Alpha Acq Corp.,PAACU,74317H204,6/3/2019,True
57,GigCapital2,GIX.U,375036209,6/10/2019,True
58,Haymaker Acquisition Corp II,HYACU,42087L200,6/12/2019,True
59,South Mountain Merger Corp,SMMCU,838884203,6/24/2019,True
