,Unnamed: 0,conm,tic,CUSIP,Date of IPO,IS_SPAC,matched_name
0,0,Silver Run Acquisition Corp,SRAQU,82811P200,2/29/2016,True,"('GENZYME CORP', 86)"
1,1,Jensyn Acquisition Corp,JSYNU,47632B201,3/7/2016,True,"('JENSYN ACQUISITION CORP', 100)"
2,2,Landcadia Holdings II Inc,LCAHU,51476W206,6/1/2016,True,"('LANDCADIA HOLDINGS INC', 95)"
3,3,M III Acquisition Corp,MIIIU,55378T203,7/7/2016,True,"('M III ACQUISITION CORP', 100)"
4,4,Saban Capital Acquisition Corp,SCACU,78516C205,9/21/2016,True,"('SABAN CAPITAL ACQUISITION CP', 97)"
5,5,Gores Holdings II Inc,GSHTU,382867208,1/12/2017,True,"('GORES HOLDINGS II INC', 100)"
6,6,Fintech Acquisition Corp II,FNTEU,31810G208,1/19/2017,True,"('FINTECH ACQUISITION CP II', 96)"
7,7,Forum Merger Corp,FMCI,34985B202,4/12/2017,True,"('FORUM MERGER II CORP', 95)"
8,8,Vantage Energy Acq Corp,VEACU,92211L204,4/17/2017,True,"('VANTAGE ENERGY ACQ CORP', 100)"
9,9,TPG Pace Energy Holdings Corp,TPGEU,872656202,5/10/2017,True,"('TPG PACE HOLDINGS CORP', 95)"
10,10,Modern Media Acquisition Corp,MMDMU,60765P202,5/17/2017,True,"('GLADSTONE LAND CORP', 86)"
11,11,Hennessy Capital Acq Corp III,HCAC.,42588L204,6/23/2017,True,"('HENNESSY CAPITL ACQ CORP II', 96)"
12,12,Federal Street Acq Corp,FSACU,31421V206,7/24/2017,True,"('GENZYME CORP', 86)"
13,13,Osprey Energy Acquisition Corp,OSPRU,688397207,7/26/2017,True,"('KLR ENERGY ACQUISITION CORP', 88)"
14,14,Pensare Acquisition Corp,WRLS,7.10E+208,8/1/2017,True,"('PURE ACQUISITION CORP', 89)"
15,15,Atlantic Acquisition Corp,ATACU,48206205,8/14/2017,True,"('GENZYME CORP', 86)"
16,16,I-AM CAPITAL ACQUISITION Co,IAMXU,45074Q207,8/22/2017,True,"('WHITEWAVE FOODS CO', 86)"
17,17,Draper Oakwood Tech Acq Inc,DOTAU,26146L202,9/15/2017,True,"('DRAPER OAKWD TECH ACQN', 90)"
18,18,Black Ridge Acquisition Corp,BRACU,09216T206,10/10/2017,True,"('GENZYME CORP', 86)"
19,19,Haymaker Acq Corp,HYACU,420870206,10/27/2017,True,"('INFINITY CROSS BORDER ACQ CP', 86)"
20,20,Legacy Acquisition,LGCU,524643202,11/17/2017,True,"('LEGACY ACQUISITION', 100)"
21,21,Big Rock Partners Acq Corp,BRPAU,89482202,11/22/2017,True,"('BIG ROCK PRTN ACQ CORP', 92)"
22,22,Leisure Acquisition Corp,LACQU,52539T206,12/5/2017,True,"('PURE ACQUISITION CORP', 89)"
23,23,Gigcapital Inc,GIG U,37518N205,12/8/2017,True,"('GIGCAPITAL INC', 100)"
24,24,Nebula Acquisition Corp,NEBU.,629076209,1/12/2018,True,"('NEBULA ACQUISITON CORP', 98)"
25,25,Gordon Pointe Acq Corp.,GPAQU,382788206,1/30/2018,True,"('GENZYME CORP', 86)"
26,26,DFB Healthcare Acqs Corp,DFBHU,2.33E+212,2/21/2018,True,"('GENZYME CORP', 86)"
27,27,Opes Acq Corp.,OPESU,68373P209,3/16/2018,True,"('PROVIDIAN FINANCIAL CORP', 86)"
28,28,Tiberius Acq Corp,TIBRU,88633A206,3/20/2018,True,"('TIBERIUS ACQU CORP', 97)"
29,29,Pure Acquisition Corp,PACQU,74621Q205,4/17/2018,True,"('PURE ACQUISITION CORP', 100)"
30,30,Trident Acquisition Corp,TDACU,89615T205,6/1/2018,True,"('TRIDENT ACQUISTNS CORP', 91)"
31,31,Allegro Merger Corp,ALGRU,01749N301,7/6/2018,True,"('ALLEGRO MERGER CORP', 100)"
32,32,Forum Merger II Corp,FMCIU,34986F202,8/7/2018,True,"('FORUM MERGER II CORP', 100)"
33,33,Megalith Financial Acquisition,MFACU,58518F208,8/28/2018,True,"('VOYA FINANCIAL INC', 86)"
34,34,Churchill Capital Corp,CCC.U,17142R202,9/11/2018,True,"('CHURCHILL CAPITAL CORP', 100)"
35,35,Gores Holdings III Inc,GRSHU,38286G208,9/11/2018,True,"('GORES HOLDINGS III INC', 100)"
36,36,ChaSerg Technology Acquisition,CTACU,16166A202,10/10/2018,True,"('TTC TECHNOLOGY CORP', 86)"
37,37,Graf Industrial Corp,GRAF,384278206,10/18/2018,True,"('GRAF INDUSTRIAL CORP', 100)"
38,38,AMCI Acquisition Corp,AMCI,00165R200,11/20/2018,True,"('AMCI ACQUISITION CORP', 100)"
39,39,Boxwood Merger Corp,BWMCU,10319T200,11/20/2018,True,"('GENZYME CORP', 86)"
40,40,Fintech Acquisition Corp III,FTACU,31811A309,11/20/2018,True,"('FINTECH ACQUISITION CORP', 95)"
