,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13
2089,19860605,Genzyme,GENZ,372917104,0,1,0,0,.,10324,1981,,,
4619,19920616,Columbia Banking System,COLB,197236102,0,0,0,0,.,77679,1988,,,
4989,19930219,Nuveen Prem Inc Muni Fund 4,NPT,6706K4105,0,0,0,0,.,78942,-99,,,
5106,19930422,TCW/DW Term Trust 2003,TMT,87234U108,0,0,1,0,100010640,79136,-99,,,
5158,19930520,Nuveen CT Prem Inc Muni Fund,NTC,67060D107,0,0,0,0,.,79225,-99,,,
5160,19930520,Nuveen MO Premium Inc Muni Fd,NOM,67060Q108,0,0,0,0,.,79222,-99,,,
5524,19931022,ACM Managed Dollar Income Fund,ADF,000949107,0,0,0,0,.,79765,-99,,,
5621,19931118,Asia Tigers Fund Inc,GRR,04516T105,0,0,0,0,.,79891,1993,,,
5625,19931118,Putnam Investment Grade Munici,PML,746807106,0,0,1,0,4007092,79917,1937,,,
5776,19940128,Worldwide DollarVest Fund Inc,WDV,981564107,0,0,0,0,.,80217,-99,,,
5819,19940214,The India Fund Inc,IFN,454089103,0,0,0,0,.,80200,1993,,,
5850,19940225,Delaware Group Global Dividend,DGF,245916101,0,0,0,0,.,80196,1929,,,
5853,19940225,Southern Africa Fund Inc,SOA,842157109,0,0,0,0,.,80211,-99,,,
5983,19940429,Templeton Emerging Markets,TEA,880190103,0,0,0,0,.,80430,-99,,,
5988,19940503,Joseph A. Bank Clothiers,JOSB,480838101,0,0,0,0,.,80544,1905,,,
6084,19940616,Liberty Property Trust,LRY,531172104,.,0,1,0,18355548,80691,1972,,,
6094,19940621,Dominion Resources Black Trust,DOM,25746Q108,0,0,0,0,.,80680,1994,,,
6106,19940623,Interiors,INTXA,458688108,0,0,1,0,1450000,80636,1990,,,
6127,19940711,Greenbrier,GBX,393657101,0,0,0,0,.,80719,1974,,,
6156,19940728,Home Properties of New York,HME,437306103,.,0,0,0,.,80723,-99,,,
6158,19940728,RF Monolithics,RFMI,74955F106,0,1,0,0,.,80763,1979,,,
6216,19940921,Banco Wiese Limitado,BWP,059651109,0,0,0,0,.,80859,-99,,,
6230,19940926,Affiliated Computer Services,ACSA,008190100,0,1,1,0,12399503,80913,1988,,,
6267,19941019,Edelbrock,EDEL,279434104,0,0,0,0,.,80973,1938,,,
6279,19941024,Greenwich St CA Mun Fund Inc,GCM,397009101,0,0,0,0,.,81036,-99,,,
6291,19941028,Alliance All-Market Advantage,AMO,01852M108,0,0,0,0,.,81022,-99,,,
6308,19941108,Pinnacle Systems,PCLE,723481107,0,1,0,0,.,81098,1986,,,
6315,19941115,Cannondale,BIKE,137798104,0,0,0,0,.,81074,1971,,,
6341,19941201,Arel Communications & Software,ARLC,M14925107,0,0,0,0,.,81140,-99,,,
6344,19941205,Apollo Group (U of Phoenix),APOLA,037604105,0,0,1,0,10109239,81138,1981,,,
6357,19941214,Universal Stainless & Alloy,USAP,913837100,0,0,0,0,.,81184,1994,,,
6376,19950110,Diasys,DIYS,252838107,0,0,0,0,.,81201,1992,,,
6386,19950124,Insight Enterprises,NSIT,45765U103,0,0,0,0,.,81220,1991,,,
6398,19950202,Integrated Silicon Solutions,ISSI,45812P107,0,1,0,0,.,81256,1988,,,
6399,19950202,Semitool,SMTL,816909105,0,0,0,0,.,81275,1979,,,
6416,19950214,Globalstar Telecommunications,GSTRF,G3930H104,0,0,0,0,.,81249,1994,,,
6428,19950224,Speedway Motorsports,TRK,847788106,0,0,0,0,.,81292,1959,,,
6436,19950306,Riviana Foods Inc,RVFD,769536103,0,0,0,0,.,81508,1986,,,
6446,19950313,National Instruments,NATI,636518102,0,0,0,0,.,81501,1976,,,
6457,19950329,Datastream Systems,DSTM,238124101,0,1,0,0,.,81483,1986,,,
6458,19950330,ACT Manufacturing,ACTM,000973107,0,0,0,0,.,81470,1982,,,
6470,19950406,Finlay Enterprises,FNLY,317884203,0,0,0,0,.,81553,1942,,,
6477,19950410,PMI Group,PMA,69344M101,0,0,0,0,.,81530,1980,,,
6479,19950412,AmeriGas Partners LP,APU,030975106,0,0,0,0,.,81521,1994,,,
6486,19950419,Taitron Components,TAIT,874028103,0,0,1,0,6599953,81588,1989,,,
6487,19950420,ANADIGICS,ANAD,032515108,0,1,0,0,.,81539,1984,,,
6504,19950504,Phoenix Gold International,PGLD,719068108,0,0,0,0,.,81637,1991,,,
6508,19950510,R-B Rubber Products,RBBR,749270104,0,0,0,0,.,81640,1985,,,
6514,19950517,Garden Fresh Restaurant,LTUS,365235100,0,2,0,0,.,81626,1983,,,
6519,19950519,Jilin Chemical Industrial,JCC,477418107,0,0,0,0,.,81658,1994,,,
6520,19950522,Harmonic Lightwaves,HLIT,413160102,0,1,0,0,.,81621,1988,,,
6523,19950524,Borders Group,BGP,099709107,0,0,0,0,.,81654,1971,,,
6527,19950525,Hardinge Brothers,HDNG,412324303,0,0,0,0,.,81620,1900,,,
6533,19950601,FEI,FEIC,30241L109,0,1,0,0,.,81705,1971,,,
6536,19950602,ResMed,RESM,761152107,0,2,0,0,.,81736,1989,,,
6538,19950606,Med-Design,MEDC,583926100,0,0,0,0,.,81721,1993,,,
6549,19950613,Western Power & Equipment,WPEC,959221102,0,0,0,0,.,81762,1992,,,
6585,19950630,Dendrite International,DRTE,248239105,0,1,0,0,.,81698,1987,,,
6589,19950630,Telesoft,TSFT,879924108,0,0,0,0,.,81755,1982,,,
6591,19950706,Legato Systems,LGTO,524651106,0,1,0,0,.,81877,1988,,,
6597,19950713,Martin Industries,MTIN,57326K102,0,0,0,0,.,81884,1905,,,
6599,19950714,Novadigm,NVDM,669937104,0,0,0,0,.,81886,1992,,,
6605,19950719,Deswell Industries,DSWL,250639101,0,0,0,0,.,81861,-99,,,
6621,19950724,Tarrant Apparel Group,TAGS,876289109,0,0,0,0,.,81901,1988,,,
6658,19950808,WFS Financial,WFSI,92923B106,0,0,0,0,.,82228,1988,,,
6660,19950809,Oakley,OO,673662102,0,0,0,0,.,81920,1975,,,
6676,19950814,Cutter & Buck,CBUK,232217109,0,2,0,0,.,82160,1990,,,
6706,19950921,Alternate Postal Delivery,ALTD,02145P106,0,0,0,0,.,82250,1988,,,
