,Unnamed: 0,offer date,IPO name,ticker,CUSIP,Rollup,VC,Dual,Internet,Post-issue shares,CRSP perm,Founding,Unnamed: 11,Unnamed: 12,Unnamed: 13,cusip_trunc
15,6084,19940616,Liberty Property Trust,LRY,531172104,.,0,1,0,18355548,80691,1972,,,,5311
19,6156,19940728,Home Properties of New York,HME,437306103,.,0,0,0,.,80723,-99,,,,4373
29,6344,19941205,Apollo Group (U of Phoenix),APOLA,037604105,0,0,1,0,10109239,81138,1981,,,,0376
31,6376,19950110,Diasys,DIYS,252838107,0,0,0,0,.,81201,1992,,,,2528
35,6416,19950214,Globalstar Telecommunications,GSTRF,G3930H104,0,0,0,0,.,81249,1994,,,,G393
42,6477,19950410,PMI Group,PMA,69344M101,0,0,0,0,.,81530,1980,,,,6934
44,6486,19950419,Taitron Components,TAIT,874028103,0,0,1,0,6599953,81588,1989,,,,8740
46,6504,19950504,Phoenix Gold International,PGLD,719068108,0,0,0,0,.,81637,1991,,,,7190
53,6533,19950601,FEI,FEIC,30241L109,0,1,0,0,.,81705,1971,,,,3024
59,6591,19950706,Legato Systems,LGTO,524651106,0,1,0,0,.,81877,1988,,,,5246
71,6731,19951005,Gadzooks,GADZ,362553109,0,2,0,0,.,82492,1982,,,,3625
76,6739,19951006,Vodavi Technology,VTEK,92857V102,0,0,0,0,.,82536,1983,,,,9285
81,6762,19951018,ADE,ADEX,00089C107,0,1,0,0,.,82467,1967,,,,0008
89,6811,19951109,Medwave,MDWV,585081102,0,1,0,0,.,82593,1984,,,,5850
96,6827,19951116,CFC International,CFCI,125252106,0,0,1,0,4501736,82558,1986,,,,1252
103,6845,19951120,Emeritus,ESC,291005106,0,0,0,0,.,82638,1993,,,,2910
108,6864,19951127,ENI SpA,E,26874R108,0,0,0,0,.,82637,-99,,,,2687
109,6867,19951129,Pixar,PIXR,725811103,0,0,0,0,.,82606,1985,,,,7258
118,6906,19951213,Kensey Nash,KNSY,490057106,0,0,0,0,.,82717,1984,,,,4900
121,6919,19951214,Star Gas Partners LP,SGU,85512C105,0,0,0,0,.,82743,-99,,,,8551
129,6981,19960201,Conceptus,CPTS,206016107,0,1,0,0,.,83123,1992,,,,2060
130,6988,19960205,Arthrocare,ARTC,043136100,0,1,0,0,.,83113,1993,,,,0431
134,7012,19960214,Landec,LNDC,514766104,0,1,0,0,.,83148,1986,,,,5147
138,7024,19960220,Impath,IMPH,45255G101,0,1,0,0,.,83141,1988,,,,4525
144,7054,19960307,IPC Holdings,IPCR,G4933P101,0,2,0,0,.,83279,1993,,,,G493
145,7055,19960308,Cytyc,CYTC,232946103,0,1,0,0,.,83251,1987,,,,2329
161,7159,19960422,Carbo Ceramics,CRBO,140781105,0,0,0,0,.,83366,1987,,,,1407
173,7204,19960508,En Pointe Technologies,ENPT,29247F108,0,0,0,0,.,83499,1993,,,,2924
182,7250,19960522,Open Market,OMKT,68370M100,0,1,0,0,.,83539,1994,,,,6837
189,7269,19960530,Exactech,EXAC,30064E109,0,0,0,0,.,83503,1985,,,,3006
203,7323,19960620,CollaGenex,CGPI,19419B100,0,1,0,0,.,83638,1992,,,,1941
205,7331,19960621,EP MedSystems,EPMD,26881P103,0,0,0,0,.,83653,1993,,,,2688
216,7383,19960710,Maxim Pharmaceuticals,MMP,57772M107,0,1,0,0,.,83722,1954,,,,5777
224,7429,19960801,FPIC Insurance Group,FPIC,302563101,0,0,0,0,.,83866,1975,,,,3025
227,7436,19960806,Professional Staff,PSTFY,74315R105,0,1,0,0,.,83895,-99,,,,7431
235,7458,19960813,Ace*Comm,ACEC,004404109,0,1,0,0,.,83838,1983,,,,0044
262,7585,19961016,ArQule,ARQL,04269E107,0,1,0,0,.,84052,1993,,,,0426
270,7638,19961030,Bitstream,BITS,091736108,0,1,1,0,5783689,84057,1981,,,,0917
285,7712,19961121,Nu Skin Asia Pacific,NUS,67018T105,0,0,1,0,83409500,84172,1991,,,,6701
303,7756,19961211,GroupeAB,ABG,39944Q109,0,0,0,0,.,84368,-99,,,,3994
308,7792,19961220,First Mariner Bancorp,FMAR,320795107,0,0,0,0,.,84309,1994,,,,3207
309,7798,19970116,Vita Food Products Inc,VSF,928450105,0,0,0,0,.,84784,-99,,,,9284
311,7803,19970122,CD Warehouse Inc,CDWI,12512W105,0,0,0,0,.,84412,1996,,,,1251
315,7821,19970129,SCPIE Holdings Inc,SKP,78402P104,0,0,0,0,.,84395,1991,,,,7840
317,7829,19970130,Trigon Healthcare Inc,TGH,89618L100,0,0,0,0,.,84396,1935,,,,8961
320,7842,19970205,Digital Lightwave Inc,DIGL,253855100,0,0,0,0,.,84525,1990,,,,2538
323,7859,19970212,Biosite Diagnostics,BSTE,090945106,0,1,0,0,.,84514,1988,,,,0909
325,7862,19970212,Profile Technology Inc,PRTK,743164105,0,0,0,0,.,84572,1995,,,,7431
347,7943,19970414,Take-Two Interactive Software,TTWO,874054109,0,0,0,0,.,84761,1993,,,,8740
348,7948,19970417,D.G. Jewellery of Canada Ltd,DGJLF,23321U107,0,0,0,0,.,84729,1979,,,,2332
358,8011,19970605,Silverleaf Resorts Inc,SVR,828395103,0,0,0,0,.,85075,1989,,,,8283
366,8033,19970618,Aris Corp,ARSC,04040A101,0,0,0,0,.,85001,1990,,,,0404
390,8133,19970807,GlobeComm Systems Inc,GCOM,37956X103,0,1,0,0,.,85291,1994,,,,3795
395,8152,19970814,TV Azteca,TZA,901145102,0,0,0,0,.,85267,-99,,,,9011
412,8225,19971001,OSI Systems Inc,OSIS,671044105,0,0,0,0,.,85488,1987,,,,6710
415,8234,19971007,Logility Inc,LGTY,54140Y103,0,0,0,1,.,85477,1992,,,,5414
416,8236,19971007,Trimeris Inc,TRMS,896263100,0,1,0,0,.,85511,1993,,,,8962
418,8240,19971009,A C Moore Arts & Crafts Inc,ACMR,00086T103,0,0,0,0,.,85452,1985,,,,0008
433,8291,19971031,Pericom Semiconductor Corp,PSEM,713831105,0,0,0,0,.,85496,1990,,,,7138
441,8322,19971113,Captec Net Lease Realty Inc,CRRR,140724105,.,0,0,0,.,85537,1997,,,,1407
447,8344,19971119,Progenics Pharmaceuticals Inc,PGNX,743187106,0,1,0,0,.,85571,1986,,,,7431
450,8353,19971121,Amb Property Corp,AMB,00163T109,.,0,0,0,.,85592,1983,,,,0016
454,8371,19971125,GameTech International Inc,GMTC,36466D102,0,0,0,0,.,85550,1994,,,,3646
457,8381,19971203,Apex Mortgage Capital Inc,AXM,037564101,0,0,0,0,.,85639,-99,,,,0375
466,8413,19971219,PacificHealth Laboratories,PHLI,695113100,0,0,0,0,.,85709,1995,,,,6951
468,8417,19980115,800 Travel Systems Inc,IFLY,282506104,0,0,0,0,.,85733,1995,,,,2825
471,8429,19980129,Mercury Computer Systems Inc,MRCY,589378108,0,1,0,0,.,85738,1981,,,,5893
477,8446,19980205,Visual Networks,VNWK,928444108,0,1,0,0,.,85854,1994,,,,9284
487,8466,19980212,Quanta Services Inc,PWR,74762E102,1,0,1,0,15972333,85792,1997,,,,7476
514,8535,19980402,Omega Protein Corporation,OME,68210P107,0,0,0,0,.,85951,1913,,,,6821
515,8537,19980408,Annuity and Life RE Holdings,ALREF,G03910109,0,0,0,0,.,85960,1997,,,,G039
521,8547,19980416,Broadcom Corp,BRCM,111320107,0,0,1,1,42760076,85963,1991,,,,1113
543,8597,19980513,Federated Investors,FII,314211103,0,0,1,0,86343000,86102,1957,,,,3142
563,8659,19980619,Interplay Entertainment,IPLY,460615107,0,0,0,0,.,86174,1982,,,,4606
565,8665,19980623,Blue River Bancshares Inc,BRBI,09602P107,0,0,0,0,.,86151,1937,,,,0960
571,8680,19980629,LMI Aerospace Inc,LMIA,502079106,0,0,0,0,.,86178,1948,,,,5020
573,8683,19980630,Allegiance Telecom Inc,ALGX,01747T102,0,1,0,1,.,86238,1997,,,,0174
579,8699,19980717,Actuate Software Corp,ACTU,00508B102,0,1,0,0,.,86236,1994,,,,0050
598,8741,19980811,Digital River Inc,DRIV,25388B104,0,1,0,1,.,86322,1994,,,,2538
604,8759,19981003,Swisscom AG,SCM,871013108,0,0,0,0,.,86376,-99,,,,8710
609,8768,19981110,MONY Group Inc,MNY,615337102,0,0,0,0,.,86411,1901,,,,6153
612,8773,19981112,theglobe.com inc,TGLO,88335R101,0,0,0,1,.,86436,1995,,,,8833
621,8803,19981217,Artificial Life Inc,ALIF,04314Q105,0,0,0,1,.,86520,1994,,,,0431
638,8829,19990128,Tut Systems Inc,TUTS,901103101,0,1,0,1,.,86586,1991,,,,9011
639,8831,19990129,Packaged Ice Inc,ICED,695148106,1,2,0,0,.,86577,1990,,,,6951
656,8873,19990308,Argosy Education Group Inc,ARGY,040222101,1,0,1,0,6900000,86794,1975,,,,0402
662,8883,19990322,Autoweb.com,AWEB,053331104,0,1,0,1,.,86766,1995,,,,0533
665,8894,19990405,PLX Technology Inc,PLXT,693417107,0,1,0,0,.,86840,1984,,,,6934
673,8906,19990414,Sagent Technology Inc,SGNT,786693101,0,1,0,0,.,86844,1995,,,,7866
674,8907,19990415,Accredo Health Inc,ACDO,00437V104,0,2,0,0,.,86813,1985,,,,0043
681,8921,19990426,Immtech International Inc,IMMT,452519101,0,0,0,0,.,86829,1984,,,,4525
694,8965,19990521,Fashionmall.com,FASH,31186K106,0,0,0,1,.,86892,1994,,,,3118
697,8971,19990525,Juno Online Services Inc,JWEB,482048105,0,1,0,1,.,86898,1995,,,,4820
705,8988,19990603,Zany Brainy Inc,ZANY,98906Q101,0,2,0,0,.,87011,1991,,,,9890
718,9032,19990624,Juniper Networks,JNPR,48203R104,0,1,0,1,.,86979,1996,,,,4820
